name,address,maps_phone,url,rating,reviews_count,language,comment,business_status,types,zip_code,phone_1,phone_2,e-mail_1,e-mail_2,message
Inmobiliaria en Palma de Mallorca ,"Calle Isla de Malta, 13, Platja de Palma, 07007 Palma, Illes Balears, España",,http://www.regainternational.com/,5.0,42.0,es,Google reviews: 5* / 42,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7007.0,+34657472783,+34657472783,info@regainternational.com,info@regainternational.com,success
RE/MAX Immocorner ,"Pg. de Mallorca, 14, Centre, 07012 Palma, Illes Balears, España",,http://www.immo-corner.com/,5.0,31.0,es,Google reviews: 5* / 31,OPERATIONAL,"('real_estate_agency', 'apartment_building', 'finance', 'point_of_interest', 'establishment')",7012.0,+34971122991,+34650516630,immocorner@remax.es,,success
InMallorca Inmobiliaria ( 07002 ),"Carrer de Josep Anselm Clavé, 2, Centre, 07002 Palma, Illes Balears, España",,https://www.inmallorcainmobiliaria.com/,5.0,9.0,es,Google reviews: 5* / 9,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34682800907,,inmallorca.inmobiliaria@gmail.com,,success
InmoBienvenue,"Plaça de Santa Eulàlia, 7, Planta 2 Despacho nº 3, Centre, 07001 Palma, Illes Balears, España",,https://www.inmo-bienvenue.com/,4.5,15.0,es,Google reviews: 4.5* / 15,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7001.0,+34971222747,+34666003665,info@inmo-bienvenue.com,,success
Inmobiliaria Inmovisa en Palma,"Carrer del Baró de Pinopar, 14, bajos, Centre, 07012 Palma, Illes Balears, España",,https://inmovisa.com/,4.7,119.0,en,Google reviews: 4.7* / 119,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7012.0,+34971725969,+34605673090,inmovisa@inmovisa.com,,success
Inmobiliaria en Palma · Balear Living Real Estate,"Gran Via Asima, 2, Nord, 07009 Palma, Illes Balears, España",,https://realestatebalear.com/,5.0,63.0,es,Google reviews: 5* / 63,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7009.0,+34971128459,+34971128459,,info@realestatebalear.com,success
Estate Agency Balearic Properties ,"Carrer d'Alcúdia, 3, 07460 Pollença, Illes Balears, España",,http://www.balearic-properties.com/,4.3,59.0,es,Google reviews: 4.3* / 59,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7460.0,+34971532984,+34638475726,,,success
BAUZÁ INMOBILIARIA,"Carrer de la Palma, 5B, Centre, 07003 Palma, Illes Balears, España",,https://bauzainmobiliaria.com/,5.0,109.0,es,Google reviews: 5* / 109,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,+34627047217,,info@bauzainmobiliaria.com,,success
Mallorca Select,"Carrer dels Paraires, 26, I, Centre, 07002 Palma, Illes Balears, España",,http://mallorca-select.com/,5.0,43.0,en,Google reviews: 5* / 43,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34634303779,,WELCOME@MALLORCA-SELECT.COM,,success
John Taylor Palma de Mallorca,"Carrer Constitució, 8, Centre, 07001 Palma, Illes Balears, España",+34971598800,https://www.john-taylor.es/,4.6,13.0,es,Google reviews: 4.6* / 13,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0,,,,,error: no webpage
NOUDOS Inmobiliaria,"Carrer Gral. Ricardo Ortega, 6, Llevant, 07006 Palma, Illes Balears, España",+34971635691,http://noudos.com/,4.8,30.0,es,Google reviews: 4.8* / 30,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,+34699876061,,info@noudos.com,,success
Engel & Völkers Palma Centro,"Carrer Constitució, 7, Centre, 07001 Palma, Illes Balears, España",+34971214140,https://www.engelvoelkers.com/es/en/shops/palma-centre,4.2,41.0,es,Google reviews: 4.2* / 41,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0,+34900747281,,spain.dp@engelvoelkers.com,,success
Fincas Fiol,"Carrer de Francesc Suau, 20, Bajos, Nord, 07010 Palma, Illes Balears, España",,http://www.fincasfiol.com/,4.7,380.0,es,Google reviews: 4.7* / 380,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,+34971755220,+34971751203,central@fincasfiol.com,,success
Inmovelia,,+34611085207,https://inmovelia.com/,4.9,57.0,es,Google reviews: 4.9* / 57,OPERATIONAL,"('real_estate_agency', 'establishment')",,+34684742533,,info@inmovelia.com,,success
Palma Realtor,"Carrer de Sant Martí, 1, Centre, 07012 Palma, Illes Balears, España",,http://www.palmarealtor.com/,5.0,51.0,es,Google reviews: 5* / 51,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,+34681154515,,info@palmarealtor.com,,success
Baleares Immobiliaria,,,http://www.baleares.immo/,5.0,15.0,es,Google reviews: 5* / 15,OPERATIONAL,"('real_estate_agency', 'establishment')",,+34620708895,,info.balearesinmo@gmail.com,,success
Spain Sotheby's International Realty  ( 07001 ),"Carrer de Can Puigdorfila, 2, Bajo pt 02, Distrito Centro, 07001 Palma, Illes Balears, España",+34871180048,https://www.spain-sothebysrealty.com/,5.0,16.0,en,Google reviews: 5* / 16,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7001.0,+34919041929,,,,success
Palmer inmobiliaria - Palma,"Carrer del Baró de Santa Maria del Sepulcre, 6, Centre, 07012 Palma, Illes Balears, España",+34971246540,http://www.palmerinmobiliaria.com/,4.9,61.0,es,Google reviews: 4.9* / 61,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,+34971240121,,hola@palmerinmobiliaria.es,,success
RE/MAX Esmeralda ,"Av. d'Antoni Maura, 18, Centre, 07012 Palma, Illes Balears, España",+34605833450,http://www.esmeralda.remax.es/,4.8,24.0,es,Google reviews: 4.8* / 24,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,,,,,error:no webpage
Inmobiliaria Oliver,"Carrer de la Cerdanya, 5, Entresuelo 1, Distrito Centro, 07012 Palma, Illes Balears, España",,https://www.inmobiliariaoliver.com/,4.6,10.0,es,Google reviews: 4.6* / 10,OPERATIONAL,"('real_estate_agency', 'finance', 'point_of_interest', 'establishment')",7012.0,+34971195062,,info@inmobiliariaoliver.com,,success
Fincas Piña Massip,"Passatge Particular de Santa Catalina de Sena, 4 -2, Entresuelo D, Distrito Centro, 07002 Palma, Illes Balears, España",,http://fincaspiñamassip.com/,4.4,103.0,es,Google reviews: 4.4* / 103,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7002.0,+34971720005,,info@fincaspinamassip.com,,success
Balearhouse,"Pg. de Mallorca, 22, Centre, 07012 Palma, Illes Balears, España",,https://www.balearhouse.com/?utm_source=gmb&utm_medium=organic&utm_campaign=link-web,4.6,28.0,es,Google reviews: 4.6* / 28,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,+34971129292,+34606326495,info@balearhouse.es,,success
GestPropiedad Avenidas,"Avinguda de Gabriel Alomar, 35, Llevant, 07006 Palma, Illes Balears, España",+34689852703,https://www.gestpropiedad.com/avenidas,5.0,192.0,es,Google reviews: 5* / 192,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,+34600886384,,info@gestpropiedad.com,,success
REMAX Vinci Group Inmobiliaria Mallorca,"Avinguda de Gabriel Alomar, 3, Bajo Izquierda, Llevant, 07006 Palma, Illes Balears, España",+34971208419,https://www.vincigroup.remax.es/,4.6,29.0,es,Google reviews: 4.6* / 29,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,,,,,error:no webpage
Invest Mallorca,"Carrer del Baró de Santa Maria del Sepulcre, 6, Centre, 07012 Palma, Illes Balears, España",,https://investmallorca.com/contacto/,4.3,29.0,es,Google reviews: 4.3* / 29,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7012.0,+34971726029,+34606989732,info@investmallorca.com,,success
Soul Estate Agency,"Carrer de Mateu Enric Lladó, 5, 3ºA, Distrito Centro, 07002 Palma, Illes Balears, España",,https://www.soulestateagency.com/,5.0,7.0,es,Google reviews: 5* / 7,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34971495594,+34633104636,info@soulestateagency.com,,success
HOMA Inmobiliaria Mallorca,"Carrer Manuel Guasp, 17, local A, Llevant, 07006 Palma, Illes Balears, España",+34644429259,https://www.homainmobiliaria.com/,4.6,19.0,es,Google reviews: 4.6* / 19,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,,,,,error: no webpage (error sending request for url)
Mallorca House,"Carrer Manuel Guasp, 10, Bajos, Llevant, 07006 Palma, Illes Balears, España",,http://www.mallorcahouse.com/,4.4,8.0,es,Google reviews: 4.4* / 8,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,+34971463100,+34971463200,loli@mallorcahouse.com,,success
Inmobiliaria Estarellas Broker,"Carrer d'Enric Alzamora, 1, Centre, 07002 Palma, Illes Balears, España",,http://www.estarellasbroker.com/,4.7,49.0,es,Google reviews: 4.7* / 49,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34971722737,+34600457908,info@estarellasbroker.com,,success
Living Blue Mallorca - Palma,"C. del Conquistador, 4, Centre, 07001 Palma, Illes Balears, España",+34971625375,https://www.livingblue-mallorca.com/,5.0,21.0,es,Google reviews: 5* / 21,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7001.0,+34971510609,+34971510881,info@livingblue-mallorca.com,info@livingblue-mallorca.com,success
AVS Inmobiliaria,"Plaça de l'Esglesia, 11, 07350 Binissalem, Illes Balears, España",+34696792091,https://www.avs.immo/,4.2,71.0,es,Google reviews: 4.2* / 71,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7350.0,+34633839925,,info@avs.immo,,success
REMAX EXPERIENCE Inmobiliaria especializada en obra nueva,"Carrer de Gilabert de Centelles, 8, Esc. derecha, Llevant, 07005 Palma, Illes Balears, España",+34871853053,https://www.remaxexperience.es/,4.6,71.0,es,Google reviews: 4.6* / 71,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7005.0,,,,,error:no webpage
Balear Invest - Real Estate,"Avinguda de l'Argentina, 21, Ponent, 07013 Palma, Illes Balears, España",,http://www.balearinvest.com/,3.8,104.0,es,Google reviews: 3.8* / 104,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7013.0,+34971719191,,info@balearinvest.com,,success
Inmo 83,"Carrer d'Eusebi Estada, 29, Nord, 07004 Palma, Illes Balears, España",,https://www.inmo83.com/,4.8,461.0,es,Google reviews: 4.8* / 461,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7004.0,+34971071081,,info@inmo83.com,,success
PALMA ORIGEN BY INMOIB,"Carrer de Pere Dezcallar i Net, 11, local 9, Distrito Centro, 07003 Palma, Illes Balears, España",,http://www.inmoib.com/,4.9,37.0,es,Google reviews: 4.9* / 37,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,+34644353626,,info@inmoib.com,,success
Agencia Inmobiliaria BPH,"Carrer de la Reina Maria Cristina, 4, 1º1ª, Norte, 07003 Palma, Illes Balears, España",,https://inmobiliariabph.com/,4.5,39.0,es,Google reviews: 4.5* / 39,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7003.0,+34871902705,+3434674157972,administracion@inmobiliariabph.com,,success
🗝️ Cool Homes Mallorca ,"Av. del Gran i General Consell, 6, 2 Planta, Nord, 07004 Palma, Illes Balears, España",,https://coolhomesmallorca.com/?utm_source=google&utm_medium=organic&utm_campaign=my_business,4.5,23.0,es,Google reviews: 4.5* / 23,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7004.0,+34699404183,+34639570996,info@coolhomesmallorca.com,,success
Palmer Inmobiliaria - Portixol,"Carrer de Llucmajor, nº 61, Platja de Palma, 07006 Palma, Illes Balears, España",,https://palmerinmobiliaria.com/,4.7,307.0,es,Google reviews: 4.7* / 307,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,+34971240121,,hola@palmerinmobiliaria.es,,success
Forcadell Palma,"Carrer de Bartomeu Ferrà, 2, Centre, 07002 Palma, Illes Balears, España",+34971718852,https://www.forcadell.com/inmobiliaria-palma/,4.0,100.0,es,Google reviews: 4* / 100,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'finance', 'establishment')",7002.0,+34934965400,+34931549692,info@forcadell.com,info@forcadellsantgervasi.com,"too many offices, not giving contacts to avoid misunderstanding"
LaBoutiqueInmobiliaria,"C/ Francesc Sancho, 2, Nord, 07004 Palma, Illes Balears, España",,http://laboutiqueinmobiliaria.com/,4.8,32.0,es,Google reviews: 4.8* / 32,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7004.0,+34871809938,+34618063061,info@laboutiqueinmobiliaria.com,,success
AFRIPAY INMOBILIARIA,"Carrer del 31 de Desembre, 11, Nord, 07003 Palma, Illes Balears, España",,https://www.afripayinmobiliaria.com/,4.4,121.0,es,Google reviews: 4.4* / 121,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7003.0,+34971465706,,info@afripay.es,,success
RBK Prime,,,http://www.rbkprime.com/,5.0,12.0,es,Google reviews: 5* / 12,OPERATIONAL,"('real_estate_agency', 'establishment')",,+34680885136,,info@rbkprime.com,,success
Housing Properties,"Av. del Comte de Sallent, 10, Planta 4, Oficina 4, Norte, 07003 Palma, Illes Balears, España",,http://housingp.com/,5.0,22.0,es,Google reviews: 5* / 22,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,+34600582990,,info@housingp.com,,success
Stüde & Blas : Servicios inmobiliarios,"Passatge Particular Joan XXIII, 2, 4C, Centre, 07002 Palma, Illes Balears, España",,http://www.studeblas.com/,5.0,8.0,ca,Google reviews: 5* / 8,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34627450709,+34871960507,info@studeblas.com,,success
Privatgest Mallorca S.L.,"Carrer de Josep Anselm Clavé, 3, Centre, 07002 Palma, Illes Balears, España",+34971495169,http://www.pgmallorca.com/,4.0,6.0,es,Google reviews: 4* / 6,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34971914570,+34601311461,info@nexuspalma.com,,success
Agencia Mallorca ( 07002 ),"Plaça de la Mercè, Centre, 07002 Palma, Illes Balears, España",+34625668194,https://www.agenciamallorca.com/sobre-nosotros/,3.7,6.0,es,Google reviews: 3.7* / 6,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34971724580,+34971723324,info@agenciamallorca.com,,success
Mía Inmobiliaria Mallorca,"Avinguda d'Antoni Maura, 6, 07141 Marratxí, Illes Balears, España",,http://www.mia-inmobiliaria.com/,5.0,25.0,es,Google reviews: 5* / 25,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7141.0,+34657824759,,gestion@mia-inmobiliaria.com,,success
Inmobiliaria Fincas Mallorca ,"Carrer de Joaquim Togores, 7, local 2, Norte, 07010 Palma, Illes Balears, España",,http://inmobiliariapalma.com/,4.7,104.0,es,Google reviews: 4.7* / 104,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,+34971750165,,fincasmallorca@hotmail.com,fincasmallorca.palma@gmail.com,success
DJ Real Estate Solutions,"Carrer de Velázquez, 7, Centre, 07002 Palma, Illes Balears, España",,https://www.djsolucionesinmobiliarias.com/,5.0,9.0,es,Google reviews: 5* / 9,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7002.0,+34971625025,,info@djsolucionesinmobiliarias.com,,success
Rústica Mallorca,"c, La Rambla, 11, Distrito Centro, 07003 Palma, Illes Balears, España",,http://www.rusticamallorca.com/,4.4,17.0,es,Google reviews: 4.4* / 17,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,+34971106706,+34664142200,,,success
Linkey Consultora Inmobiliaria,"Carrer de Velázquez, 10, Centre, 07002 Palma, Illes Balears, España",,http://www.linkey.es/,5.0,8.0,en,Google reviews: 5* / 8,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34647557574,+34610170891,sbennasara@gmail.com,,success
Coco Inmobiliaria,"Carrer de Ticià, 47, Nord, 07003 Palma, Illes Balears, España",,http://cocoinmobiliaria.com/,5.0,197.0,es,Google reviews: 5* / 197,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,+34871534961,+34871732503,info@cocoinmobiliaria.com,,success
Molina Homes Inmobiliaria,"Carrer de Joan Lluís Estelrich, 18, Centre, 07003 Palma, Illes Balears, España",+34871037032,http://molinahomes.es/,5.0,218.0,es,Google reviews: 5* / 218,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,,,,,"error: Transform failed, HTML does not have valid markup."
Inmobiliaria en Mallorca ,"Avinguda de l'Argentina, 32, 07011 Palma, Illes Balears, España",,https://www.mundopisos.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=organicmap,4.8,257.0,es,Google reviews: 4.8* / 257,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7011.0,+34971910801,+34686121248,info@mundopisos.com,info@mundopisos.com,success
Inmuebles CBPisos,"C/ del General Riera, 12, Nord, 07003 Palma, Illes Balears, España",,http://www.cbpisos.com/,4.9,84.0,es,Google reviews: 4.9* / 84,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,+34971711216,,cbpisos@cbpisos.com,CENTRAL@CBPISOS.COM,success
Inmobiliaria Living Palma,"Carrer de Josep d'Oleza, 4, Nord, 07010 Palma, Illes Balears, España",,https://living-palma.com/es,4.9,168.0,es,Google reviews: 4.9* / 168,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,+34971418800,+34626706165,,,success
Grup Direct Real Estate,"Calle Santiago Rusiñol 11 esquina con, Carrer de Joaquim Botia, 5, Centre, 07012 Palma, Illes Balears, España",,http://www.grupdirect.com/,4.6,123.0,es,Google reviews: 4.6* / 123,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,+34971722722,+34667762676,info@grupdirect.com,infosanfernando@grupdirect.com,success
UFFELMANN Properties,"Carrer d'Ausiàs March, 36, Nord, 07003 Palma, Illes Balears, España",+34871045529,http://www.uffelmann.es/,5.0,16.0,es,Google reviews: 5* / 16,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,,,,,error:no webpage
Mundo Pisos Plaza París,"Plaça de París, 3, Nord, 07010 Palma, Illes Balears, España",+34971902011,https://www.mundopisos.com/es,4.6,62.0,es,Google reviews: 4.6* / 62,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,+34971910801,+34686121248,info@mundopisos.com,calidadgestion@mundopisos.com,success
Futura Propiedades Mallorca,"Carrer de Femenies, 9, 07013 Palma, Illes Balears, España",+34971105523,https://www.futurapropiedadesmallorca.com/,4.8,92.0,es,Google reviews: 4.8* / 92,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7013.0,+34661349530,+34663952077,gisela.grana@futurapropiedadesmallorca.com,,success
Aina Rabassa Propiedades,,,http://www.ainarabassa.com/,5.0,24.0,es,Google reviews: 5* / 24,OPERATIONAL,"('real_estate_agency', 'establishment')",,+34681910692,+34670084411,info@ainarabassa.com,madrid@ainarabassa.com,"too many offices, not giving contacts to avoid misunderstanding"
INTIAA ,"C/ del General Riera, 56, Nord, 07010 Palma, Illes Balears, España",,http://www.intiaa.com/,4.8,113.0,es,Google reviews: 4.8* / 113,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7010.0,+34871903477,,info@intiaa.com,,success
Nicolás Iriarte ,"Carrer Joan Maria Thomàs, 2, 1°, Poniente, 07014 Palma, Illes Balears, España",,https://nicolasiriarte.com/,5.0,33.0,es,Google reviews: 5* / 33,OPERATIONAL,"('real_estate_agency', 'lodging', 'general_contractor', 'point_of_interest', 'establishment')",7014.0,+34659280879,,,,success
Zaino's Capital | Inmobiliaria,,,https://www.zainoscapital.com/,5.0,11.0,es,Google reviews: 5* / 11,OPERATIONAL,"('real_estate_agency', 'establishment')",,+34871264131,+34971965737,info@zainoscapital.com,,success
DarderInmo,"Carrer del Pare Bartomeu Pou, 36, Nord, 07003 Palma, Illes Balears, España",,http://darderinmo.com/,4.9,14.0,es,Google reviews: 4.9* / 14,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,+34671904540,+34639935926,claudia@darderinmo.com,tomas@3project.es,success
Vidamar Consultors Immobiliaris,"C/ de Miquel dels Sants Oliver, 21A, Ponent, 07011 Palma, Illes Balears, España",,http://www.vidamar.net/,4.6,230.0,es,Google reviews: 4.6* / 230,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7011.0,+34871515303,+34645332255,vidamar@vidamar.net,,success
JD Residences,"Pg. de Mallorca, 16, Centre, 07012 Palma, Illes Balears, España",,http://www.jd-residences.com/,5.0,26.0,es,Google reviews: 5* / 26,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,+34606824162,+34606824162,daniel@jd-residences.com,,success
Grupo Inmobiliario TJR,"Carrer de Francesc Martí i Móra, 3A, Ponent, 07011 Palma, Illes Balears, España",+34971094502,https://www.idealista.com/pro/grupo-inmobiliario-tjr/venta-viviendas/,4.8,21.0,es,Google reviews: 4.8* / 21,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7011.0,,,,,error:no webpage
Inmobiliaria S'escorxador,"Carrer de Joan Fuster i Ortells, 2, Nord, 07010 Palma, Illes Balears, España",,http://www.sescorxador.com/,4.4,45.0,es,Google reviews: 4.4* / 45,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,+34971917507,,info@sescorxador.com,,success
Algot Properties,"Carrer del Bisbe Rafael Josep Verger, 2, Nord, 07010 Palma, Illes Balears, España",+34629574538,http://www.algotproperties.es/,4.9,21.0,es,Google reviews: 4.9* / 21,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,,,,,"error: Transform failed, HTML does not have valid markup."
Aragon gestión,"C/ Aragó, 81, bajos. Llevant, Llevant, 07005 Palma, Illes Balears, España",,http://www.aragongestion.com/,4.3,47.0,es,Google reviews: 4.3* / 47,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7005.0,+34971243569,+34680555170,info@aragongestion.com,,success
LEXLEY INMOBILIARIA,"Carrer del Bisbe Rafael Josep Verger, 2, Nord, 07010 Palma, Illes Balears, España",+34633371001,https://www.idealista.com/pro/lexley/?fbclid=PAY2xjawJZxQNleHRuA2FlbQIxMQABppuJlhHM7qbZ8TA5hmYt-HleCg_mt1FiHM2cX_7e6EQl8XD-Bq2RYYLmXw_aem_XSp1stszixJTclFvlEF0Ow,5.0,26.0,es,Google reviews: 5* / 26,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,,,,,error:no webpage
Inmobiliaria MUT,"C/ del Marquès de la Fontsanta, 53, Llevant, 07005 Palma, Illes Balears, España",+34971900006,https://inmobiliariamutbymarian.es/,4.5,72.0,es,Google reviews: 4.5* / 72,OPERATIONAL,"('real_estate_agency', 'insurance_agency', 'point_of_interest', 'establishment')",7005.0,,,,,"error: Transform failed, HTML does not have valid markup."
INMOBILIARIA GRUPO ROMA,"Carrer de la Indústria, 46, 07013 Palma, Illes Balears, España",,http://www.grupo-roma.com/,4.4,103.0,es,Google reviews: 4.4* / 103,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7013.0,+34971717800,,central@grupo-roma.com,,success
