name;address;international_phone_number;url;rating;reviews_count;Column1;_1
Inmobiliaria Queen Home;;+34 616 24 56 27;https://www.facebook.com/QueenHomeInmobiliaria;49;1730;;
Parcesur Gestiones Inmobiliarias;inmobiliaria parcesur, urb: altos del castillo, s/n, 14005 Córdoba, España;+34 621 23 89 68;https://www.parcesur.es/;49;480;;
Parcesur Gestiones Inmobiliarias. S.L.;C. de Damasco, 4, Poniente Sur, 14005 Córdoba, España;+34 621 23 89 68;https://www.parcesur.es/;46;2100;;
Inmovida;Av. Granada, Av. de Barcelona, local 5, Levante, 14009 Córdoba, España;+34 622 02 91 36;http://www.inmo-vida.es/;46;210;;
inmobiliaria Casabel;Av. de Carlos III, 28, Levante, 14014 Córdoba, España;+34 622 25 89 79;https://www.casabel.es/;48;440;;
INMOSÍ Grupo Inmobiliario;Av. de Cervantes, 6, Centro, 14008 Córdoba, España;+34 623 72 00 12;https://www.inmosi.com/;48;320;;
Tecnocasa Inmobiliaria Santa Rosa;C. la Palmera, 17, Nte. Sierra, 14006 Córdoba, España;+34 623 99 05 47;https://cordoba17.tecnocasa.es/cordoba/santa-rosa/;49;250;;
INMOBILIARIA CARLOS PRIEGO;Av. Ronda de los Tejares, 26, 3º-1, Centro, 14001 Córdoba, España;+34 625 96 64 75;http://www.carlospriego.es/;49;710;;
Habitacor Servicios Inmobiliarios;C. Sevilla, 8, Centro, 14003 Córdoba, España;+34 627 44 50 70;http://habitacor.com/;49;1590;;
INMOBILIARIA SOLANAS;C. Alonso de Burgos, 12, 1º, Centro, 14008 Córdoba, España;+34 629 83 94 72;http://www.solanasinmobiliaria.es/;31;80;;
Rayla Homes Real Estate Services S.L.;C. Eduardo Dato, 12, bajo, Centro, 14003 Córdoba, España;+34 630 34 79 20;https://www.raylahomes.com/;50;30;;
Inmobiliaria Buscopisos;C. Úbeda, 15, Sur, 14013 Córdoba, España;+34 633 91 51 14;https://www.buscopisos.es/;47;130;;
APARTAMENTALIA Grupo Inmobiliario;C. de los Reyes Católicos, 3, PLANTA 2ª, Centro, 14001 Córdoba, España;+34 634 46 79 55;https://apartamentalia.com/;50;410;;
Corduba Inmobiliaria;C. Platero Pedro de Bares, 47, local, Levante, 14007 Córdoba, España;+34 634 70 72 22;https://www.cordubainmobiliaria.es/;48;200;;
Sócialcasa Inmobiliaria Vistalegre;Av. del Aeropuerto, 7, Poniente Sur, 14004 Córdoba, España;+34 634 77 48 21;http://www.socialcasa.es/;50;2850;;
Domus Córdoba Inmobiliaria;Av. del Gran Capitán, 2, 2º Derecha, Centro, 14008 Córdoba, España;+34 636 18 32 40;http://www.domuscordoba.com/;46;720;;
Ideal Inmobiliaria;Av. del Gran Capitán, 20, 2ºB, Centro, 14001 Córdoba, España;+34 637 53 50 47;https://idealinmobiliaria.es/;50;470;;
TECNOCASA SAGUNTO-EDISOL;C. Sagunto, 4, Levante, 14007 Córdoba, España;+34 640 71 50 07;;50;260;;
INMOBILIARIA ARCOS;;+34 643 30 71 01;https://www.inmobiliariaarcos.com/;;;;
Servián Inmobiliaria;Av. Ronda de los Tejares, 13, Centro, 14001 Córdoba, España;+34 646 45 96 80;https://www.idealista.com/pro/serviangestioninmobiliaria/venta-viviendas/;49;450;;
Inmobiliaria Buscopisos;C. Cam. de la Barca, Sureste, 14010 Córdoba, España;+34 647 37 43 88;http://www.buscopisos.es/;48;450;;
Fermín Gallardo Inmobiliarios;Calle Dra Matilde Montoya, 12, 14011 Córdoba, España;+34 650 19 60 72;http://www.fermingallardo.com/;49;1470;;
Santa Rosa Valdeolleros Agencia inmobiliaria;C. Don Lope de los Ríos, 2, Local, Nte. Sierra, 14006 Córdoba, España;+34 651 99 60 95;https://inmobiliariasantarosa.es/;49;150;;
InmoCampo;Av. de Cervantes, 6, Centro, 14008 Córdoba, España;+34 654 06 66 33;https://inmocampo.com/?utm_source=GMB&utm_medium=local&utm_campaign=fincas_rusticas_cordoba;49;1230;;
Sócialcasa Inmobiliaria Ciudad Jardín;C. Alcalde Sanz Noguer, 13, Poniente Sur, 14005 Córdoba, España;+34 656 31 14 70;http://www.socialcasa.es/;49;6800;;
Fr Inmobiliaria;Pl. del Mediodía, Sur, 14013 Córdoba, España;+34 658 22 30 74;;37;30;;
Viviendas Córdoba;C. Libertador Juan Rafael Mora, Sur, 14013 Córdoba, España;+34 662 24 72 46;http://www.viviendascordobainmobiliaria.es/;50;30;;
VIVIENDAS CORDOBA inmobiliaria;C. de Damasco, 14, Poniente Sur, 14005 Córdoba, España;+34 662 24 72 46;http://www.viviendascordobainmobiliaria.es/;46;200;;
GRUPOFATIMA;Av. Virgen de Fátima, 36, Levante, 14014 Córdoba, España;+34 662 49 03 97;http://grupofatima.es/;50;240;;
Inmogroup Cordoba Sierra;C. Colombia, Noroeste, 14006 Córdoba, España;+34 664 17 12 70;;50;80;;
Inversiones Inmobiliarias Jurado Salces Sl;"C. Manuel de la Haba ""Zurito"", 7, 4-D, Poniente Sur, 14004 Córdoba, España";+34 665 61 83 67;http://www.inmobiliariasjurado.es/;50;130;;
Ikesa Inmobiliaria - Córdoba;Centro de negocios los Azahares, Av. Guerrita, s/nº, 1ª planta, Local 8, Poniente Sur, 14005 Córdoba, España;+34 667 69 36 42;https://www.ikesainmobiliaria.es/;49;140;;
Inmobiliaria Buscopisos;Plaza de la Marina Española, 38, Noroeste, 14011 Córdoba, España;+34 669 94 30 12;http://www.buscopisos.es/;48;660;;
Inmobiliaria Versalles;Carr. del Aeropuerto, 14005 Córdoba, España;+34 674 37 78 39;;50;10;;
Inmobiliaria PorBer;C. Acera Fuente de la Salud, 15, Nte. Sierra, 14006 Córdoba, España;+34 678 57 14 51;http://www.inmobiliariaporber.com/;47;530;;
Clabarni Gestiones Inmobiliarias;;+34 680 63 36 43;;50;190;;
Redondo inmobiliaria;C. Platero Repiso, 12, Levante, 14010 Córdoba, España;+34 681 22 35 43;http://www.inmoredondo.es/;50;300;;
Gestiones JSA;C. de los Reyes Católicos, 2, Centro, 14001 Córdoba, España;+34 685 11 26 17;https://gestionesjsa.es/;48;280;;
INMOBILIARIA ALKAZACOR;"Pje. José Flores ""Cámara"", Poniente Sur, 14005 Córdoba, España";+34 685 46 92 24;http://inmob15934.client.inmofactory.com/;48;350;;
May Moure Inmobiliaria;Pl. de San Miguel, Centro, 14002 Córdoba, España;+34 685 58 28 87;https://www.maymoureinmobiliariacordoba.es/;50;100;;
Promocion Palacio Homes - Foroconsultores Inmobiliarios;Av. Llanos del Pretorio, 1, Noroeste, 14006 Córdoba, España;+34 686 59 76 85;;45;40;;
Inmobiliaria Ramocasa;C. del Alcalde Velasco Navarro, 5, Local, Poniente Sur, 14004 Córdoba, España;+34 687 24 12 26;http://www.inmobiliariaramocasa.com/;50;40;;
Ideal Inmobiliarias | Ciudad Jardín Inmobiliaria;C. Decano Fernández de Castillejo, 1, Poniente Sur, 14004 Córdoba, España;+34 687 63 42 29;https://idealinmobiliaria.es/;49;1410;;
Inmocodix Soluciones Inmobiliarias;C. Sevilla, 2, 3º3, Centro, 14003 Córdoba, España;+34 690 15 82 10;http://inmocodix.com/;47;1240;;
DURNA GESTION;Av. Al-Nasir, 3, 3º3, Nte. Sierra, 14006 Córdoba, España;+34 691 39 83 01;https://www.durna.es/;50;130;;
QUALITY HOME GESTIONES INMOBILIARIAS REAL STATE.;;+34 692 13 06 73;https://www.facebook.com/GestionesInmobiliariasMamenMartinez/;50;20;;
Puri Vallejo & Co Inmobiliaria;Av. del Gran Capitán, 9, Escalera B, 3H1, Centro, 14008 Córdoba, España;+34 693 24 63 41;http://www.purivallejo-co.com/;43;450;;
Inmobiliaria en Córdoba;C. Espliego, Nte. Sierra, 14012 Córdoba, España;+34 699 22 74 91;https://noriegadi.com/;;;;
Domus Córdoba Inmobiliaria - Viñuela;Av. de la Viñuela, 2, Levante, 14010 Córdoba, España;+34 722 32 09 57;https://www.domuscordoba.com/;50;160;;
Inmobiliaria Sagunto;C. Platero Repiso, 4, Levante, 14010 Córdoba, España;+34 722 51 81 78;https://www.fotocasa.es/es/inmobiliaria-inmobiliaria-sagunto/comprar/inmuebles/espana/todas-las-zonas/l?clientId=9202768363193;50;110;;
Inmobiliaria Gestiurban;;+34 744 63 13 50;https://www.inmobiliariagestiurban.com/;48;770;;
Inmobiliaria - ASINMCOR (asesores inmobiliarios de Córdoba);C. Ángela Romero de Torres, 4, local, Levante, 14010 Córdoba, España;+34 744 64 82 97;http://www.asinmcor.com/;50;80;;
Fénix Inmobiliaria Córdoba;C. Caravaca de la Cruz, 15, Levante, 14007 Córdoba, España;+34 744 65 87 47;https://www.fenix-inmobiliaria.com/;49;300;;
Click Casa;Poeta Blanco Criado, 8, Levante, 14007 Córdoba, España;+34 857 80 26 84;https://www.clickcasacor.com/es;46;130;;
RTC Inmobiliaria;C. Gabriel Ramos Bejarano, 113, nave 16B, 14014 Córdoba, España;+34 857 80 68 43;http://www.rtc2005.es/;38;160;;
HOLA ! MEDINA;C. Marqués de Boïl, 5, 2 Drcha, Centro, 14008 Córdoba, España;+34 857 80 75 55;https://www.holaspain.es/oficina/hola-medina;50;310;;
Inmobiliaria Levante | Tucasacórdoba;Av. de Barcelona, 11, Levante, 14010 Córdoba, España;+34 900 929 888;https://www.tucasacordoba.com/oficina-levante/;47;2180;;
Kieropiso Córdoba;;+34 957 03 39 85;http://www.kieropisocordoba.com/index.php;48;180;;
Bella Córdoba Real Estate;Calle Eduardo Lucena, 5, Centro, 14008 Córdoba, España;+34 957 04 01 94;http://www.bellacordoba.es/;49;580;;
GALANTIS URBAN 24 SL;AV. AMARGACENA, CALLE F, 7, NAVE 2A, 14013 Córdoba, España;+34 957 04 02 39;;;;;
TOB-HAUS SA;Av. Amargacena, 7 Calle, F, Nave 2A, 14013 Córdoba, España;+34 957 04 02 39;http://www.tob-haus.com/;50;50;;
1 TECNOCASA CIUDAD JARDIN CORDOBA;C. Alcalde Sanz Noguer, 38, local 4, Poniente Sur, 14005 Córdoba, España;+34 957 04 21 85;https://cordoba15.tecnocasa.es/;50;730;;
Jade Grupo Inmobiliario Levante;C. Dr. Manuel Villegas, 8, Levante, 14007 Córdoba, España;+34 957 04 54 86;https://www.inmobiliariajade.es/;46;360;;
Condado Homes - Inmobiliaria;Plaza de las Doblas, s/n, Centro, 14001 Córdoba, España;+34 957 04 92 38;https://www.condadohomes.com/;50;20;;
Inmobiliaria Albasur (Oficina Sector Sur);C. Úbeda, 10, Sur, 14003 Córdoba, España;+34 957 04 92 44;http://www.inmobiliariaalbasur.com/;41;480;;
Inmobiliaria Albasur (Oficina Pretorio);Av. Llanos del Pretorio, 1, loc. 17, Noroeste, 14006 Córdoba, España;+34 957 04 98 21;https://www.inmobiliariaalbasur.com/;47;150;;
Alquila y Punto. Seguro de Alquiler Córdoba;C. del Doce de Octubre, 8, 1º, Centro, 14001 Córdoba, España;+34 957 05 13 08;https://www.alquilaypunto.es/;50;110;;
Inmobiliaria en Córdoba Mi Manzana;C. del Doce de Octubre, 8, 1º, Centro, 14001 Córdoba, España;+34 957 05 13 08;http://www.mimanzanainmobiliaria.com/;48;1180;;
Grupo Vivendo | Inmobiliaria;Plaza de las Doblas, Centro, 14001 Córdoba, España;+34 957 05 58 02;;42;340;;
Inmobiliaria Zona Sur | TucasaCórdoba;Av. de Cádiz, 59, Sur, 14009 Córdoba, España;+34 957 07 70 00;https://www.tucasacordoba.com/oficina-sector-sur/;46;830;;
Casas de Andalucía Inmobiliaria;C. Hermano Juan Fernández, Levante, 14014 Córdoba, España;+34 957 07 86 96;https://www.casasdeandaluciainmobiliaria.com/;41;340;;
Inmobiliaria Tucasacórdoba | Centro;C. Cruz Conde, 24, Centro, 14001 Córdoba, España;+34 957 08 03 10;https://www.tucasacordoba.com/oficina-centro-cordoba/;50;40;;
Inatec Inmobiliaria;Av. de la Libertad, 18, Noroeste, 14006 Córdoba, España;+34 957 08 13 10;http://www.inatecinmobiliaria.es/;45;110;;
Inmobiliaria Noguer;Calle Alcalde Sanz Noguer, frente al numero 10, Poniente Sur, 14005 Córdoba, España;+34 957 08 18 21;http://www.inmobiliarianoguer.com/;43;250;;
Inmobiliaria en Córdoba | Inmobiliaria Joaquín;finlandia M-E2, 14014 Córdoba, España;+34 957 08 29 76;https://inmobiliariajoaquin.es/?utm_source=gmb&utm_medium=click&utm_campaign=ficha_gmb_finlandia;48;1020;;
OcasionCasa | Inmobiliaria;C. Sta. Rosa, 3, Nte. Sierra, 14006 Córdoba, España;+34 957 08 46 99;http://www.ocasioncasa.com/;38;180;;
Home For Sale;C. Málaga, nº 4, 4º D, Centro, 14003 Córdoba, España;+34 957 08 59 19;;47;650;;
Cano Infante Inmobiliaria | Real Estate;Av. Arroyo del Moro, 14, LOCAL 1, Noroeste, 14011 Córdoba, España;+34 957 08 88 44;http://www.canoinfante.com/;50;690;;
Inmobiliaria Santa Rosa | Tucasacórdoba;C. Sta. Rosa, 6, Nte. Sierra, 14006 Córdoba, España;+34 957 08 97 97;https://www.tucasacordoba.com/oficina-santa-rosa-2/;45;910;;
INMOGROUP CÓRDOBA;;+34 957 09 98 60;;47;180;;
RK Casas Para Vivir;Av. Al-Nasir, 3, 3-1, Nte. Sierra, 14006 Córdoba, España;+34 957 10 06 00;http://www.casasparavivir.es/;50;4490;;
GSM INMOBILIARIA;C. Marqués de Boïl, nº5, 1planta, Centro, 14008 Córdoba, España;+34 957 10 76 30;;50;260;;
MAR | Real Estate;C. Claudio Marcelo, 4, local, Centro, 14002 Córdoba, España;+34 957 11 11 90;http://www.marrealestatecordoba.com/;45;600;;
BLUE INMOBILIARIA;Av. Ronda de los Tejares, 32, Acceso 1, 5ª Planta, Oficina 152, Centro, 14001 Córdoba, España;+34 957 11 51 11;http://www.blueinmobiliaria.com/;47;540;;
Inmobiliaria Ciudad Jardín | Tucasacórdoba;C. Alcalde Sanz Noguer, 1, Poniente Sur, 14004 Córdoba, España;+34 957 19 36 44;https://www.tucasacordoba.com/oficina-ciudad-jardin/;48;1230;;
FyG Servicios Inmobiliarios;C. Tomás de Aquino, 12, Poniente Sur, 14004 Córdoba, España;+34 957 19 46 26;https://www.fygrealestate.com/;47;120;;
Alcalá Inmobiliaria;Av. Granada, 16, Sur, 14009 Córdoba, España;+34 957 20 28 56;http://www.grupoalcala.es/;39;220;;
Inmobiliaria Gago;Av. de Manolete, 15, Poniente Sur, 14005 Córdoba, España;+34 957 23 81 00;http://gagoinmobiliaria.com/;34;290;;
INMOBILIARIA TU PISO;C. Centro de Salud, locales de oficina 1º1, Poniente Nte., 14005 Córdoba, España;+34 957 24 24 60;http://www.inmobiliariatupiso.es/;50;50;;
Arabelia inmobiliaria;C. Úbeda, 19, Sur, 14013 Córdoba, España;+34 957 24 98 59;http://www.arabelia.com/;42;400;;
INMOBILIARIA VIÑUELA;Av. de Barcelona, 7, Levante, 14010 Córdoba, España;+34 957 25 02 26;;27;320;;
Gesfincor;C. Platero Pedro de Bares, 45, local, Levante, 14007 Córdoba, España;+34 957 25 22 26;http://www.gesfincor.es/;49;710;;
Inmobiliaria Arabelia;Av. de Barcelona, 8, Levante, 14010 Córdoba, España;+34 957 25 30 43;http://www.arabelia.com/;40;510;;
Inmobiliaria HyL;C. Sta. María de Gracia, 13, Centro, 14002 Córdoba, España;+34 957 26 31 11;;45;20;;
NAVECOR;C. Ing. Torres Quevedo, 14013 Córdoba, España;+34 957 34 32 12;https://www.facebook.com/navecor.alquiler.naves.industriales.cordoba;50;40;;
Inmobiliaria Arroyo del Moro | Noreña | Hipercor | Tucasacórdoba;Gta. Amadora, 2, Noroeste, 14011 Córdoba, España;+34 957 39 05 14;https://www.tucasacordoba.com/;45;80;;
Inmobiliaria Forte;Av. Granada, 8, Local, Sur, 14009 Córdoba, España;+34 957 39 06 48;http://www.inmobiliariaforte.es/;45;790;;
Inmobiliaria Forte;C. de Damasco, 1, Local, Poniente Sur, 14004 Córdoba, España;+34 957 39 12 38;http://www.inmobiliariaforte.es/;48;420;;
Inmobiliaria Fátima | Tucasacórdoba;Av. Virgen de Fátima, 30, Levante, 14014 Córdoba, España;+34 957 39 33 99;https://www.tucasacordoba.com/oficina-fatima/;47;710;;
INMOLIKE INMOBILIARIA. Oficina SANTA ROSA;C. Pintor Racionero Castro, 1, Nte. Sierra, 14006 Córdoba, España;+34 957 39 52 34;http://www.inmolike.com/;50;190;;
Inmobiliaria Cordobesa;Av. de Jesús Rescatado, 4, Levante, 14007 Córdoba, España;+34 957 39 55 55;http://www.inmobiliariacordobesa.es/;41;80;;
Inmobiliaria Cordobesa;C. San Pablo, 1, Centro, 14002 Córdoba, España;+34 957 39 77 77;http://www.inmobiliariacordobesa.es/;41;220;;
Inmobiliaria Barin;C. Sta. Rosa, 18, Nte. Sierra, 14006 Córdoba, España;+34 957 40 35 35;http://www.inmobiliariabarin.com/;43;180;;
Inmobiliaria UNIVIPCASA;C. la Higuera, 5, Nte. Sierra, 14006 Córdoba, España;+34 957 40 47 00;http://www.univipcasa.com/;38;130;;
Encassa Inmobiliaria;C. Cruz Conde, 14, Centro, 14003 Córdoba, España;+34 957 40 48 58;http://encassa.es/;50;180;;
Inmobiliaria Albasur (Oficina Fátima);Av. Virgen de Fátima, 23, Levante, 14014 Córdoba, España;+34 957 43 11 13;http://www.inmobiliariaalbasur.com/;41;150;;
Inmobiliaria Concepción;Av. Virgen de Fátima, 25, Levante, 14014 Córdoba, España;+34 957 43 42 60;http://www.apiconcepcion.com/;30;40;;
Inmobiliaria Barin;"C. Manuel Fuentes ""Bocanegra"", 9, Poniente Sur, 14005 Córdoba, España";+34 957 45 07 06;https://www.inmobiliariabarin.com/;43;350;;
Inmobiliaria Califal;Av. Arroyo del Moro, 12, Noroeste, 14011 Córdoba, España;+34 957 46 62 44;http://www.inmobiliariascalifal.com/;47;1090;;
SANGO inmobiliaria;Av. Arroyo del Moro, 13, Noroeste, 14011 Córdoba, España;+34 957 46 69 19;https://www.sangoinmobiliaria.com/;41;220;;
A.p.i. Aranda;Av. Ronda de los Tejares, 19, Centro, 14008 Córdoba, España;+34 957 47 21 73;https://www.inmoaranda.com/;28;40;;
Emfisa;C. Conde de Gondomar, 3, Centro, 14003 Córdoba, España;+34 957 47 22 84;http://www.emfisa.com/;;;www.empresasyfincas.com;,4.7,14.0
Inmobiliaria CAPITAN;C. Cruz Conde, 12, 1°, Centro, 14003 Córdoba, España;+34 957 47 25 59;https://www.inmobiliariacapitan.es/;48;1650;;
Inmobiliaria Buró;Av. del Gran Capitán, 40, Centro, 14001 Córdoba, España;+34 957 47 36 00;http://inmobiliariaburo.com/;38;40;;
Coinfer - Inmobiliarias en Córdoba;C. Conde de Gondomar, 6, 1º, Centro, 14003 Córdoba, España;+34 957 47 53 35;;38;240;;
Inmobiliaria Barin;C. de Fr. Luis de Granada, 6, local, Centro, 14008 Córdoba, España;+34 957 48 27 75;http://www.inmobiliariabarin.com/;46;250;;
Inmobiliaria Open;C. Manuel de Sandoval, 5, Centro, 14008 Córdoba, España;+34 957 48 34 64;http://www.inmobiliariaopen.com/;25;80;;
Inmobiliaria Plaza;C. Morería, 7, 1ºB, Centro, 14008 Córdoba, España;+34 957 48 52 00;http://inmobiliariaplaza.com/;42;50;;
Inmobiliaria Concepción;C. Concepción, 6, 2º, Centro, 14008 Córdoba, España;+34 957 48 70 42;http://www.apiconcepcion.com/;33;140;;
Inmobiliaria Barin;Av. del Gran Capitán, 17, 1º, izq, Centro, 14008 Córdoba, España;+34 957 48 83 46;http://www.inmobiliariabarin.com/;44;400;;
Inmobiliaria Albasur (Oficina Centro);Pl. de las Tendillas, 1, Centro, 14001 Córdoba, España;+34 957 49 12 76;https://www.inmobiliariaalbasur.com/;41;150;;
Doble Ele Mediacion Inmobiliaria S L;Av. de la Arruzafa, 2, Nte. Sierra, 14012 Córdoba, España;+34 957 49 61 85;http://www.doblele.com/;47;310;;
Area 2 Inmobiliaria;C. San Álvaro, 8, Centro, 14003 Córdoba, España;+34 957 49 65 66;http://www.area2.es/promociones.php;50;10;;
Inmocordoba;C. Conde de Torres Cabrera, 9, Centro, 14001 Córdoba, España;+34 957 49 68 68;http://www.inmocordoba.net/;50;30;;
NORIEGA;Av. del Gran Capitán, 23, 2ª, Centro, 14008 Córdoba, España;+34 957 49 75 42;http://www.noriegadi.com/;49;700;;
Lamsa Inmobiliaria;Av. del Gran Capitán, 24, 4º planta, 1 A, Centro, 14001 Córdoba, España;+34 957 61 18 53;https://www.pisoscordoba.lamsainmobiliaria.es/;50;60;;
Stylo10 Reformas en Córdoba e Inmobiliaria;C. Cruz Conde, 19, 2 planta 1, Centro, 14001 Córdoba, España;+34 957 62 17 24;https://stylo10.com/;50;860;;
Inmobiliaria Casabank;Av. Dr. Fleming, 6, Centro, 14004 Córdoba, España;+34 957 76 04 23;http://casabank.net/;39;230;;
Hermanos López Bastida C.B.;Calle Ingeniero Torres Quevedo, Pol, Pl. Industrial la Torrecilla, 0 S/N, 14013 Córdoba, España;+34 957 76 06 50;;;;;
Navisur inmobiliaria;Av. de Carlos III, 34, Levante, 14014 Córdoba, España;+34 957 76 49 04;http://www.navisurinmobiliaria.es/;38;610;;
Inmobiliaria Barin;Ctra. de las Ermitas, 10, Nte. Sierra, 14012 Córdoba, España;+34 957 76 78 08;https://www.inmobiliariabarin.com/;43;200;;
Castellana Real Estate;Av. del Gran Capitán, 2, 2º, Centro, 14008 Córdoba, España;+34 957 78 08 07;https://castellanarealestate.com/;40;10;;
Inmobiliaria Rein;El Avellano, 4, Nte. Sierra, 14006 Córdoba, España;+34 957 81 04 90;;50;30;;
Solvia Inmobiliaria Córdoba;C. del Doce de Octubre, 17, CENTRO, Centro, 14001 Córdoba, España;+34 957 81 04 90;http://www.solviacordobainmo.com/;49;380;;
Inmobiliaria Vistabrezo;C. Caño, 10, Centro, 14001 Córdoba, España;+34 957 81 18 00;http://www.vistabrezo.com/;46;1530;;
OcasiónCasa Calahorra | Inmobiliaria;Av. de Cádiz, 19, Sur, 14009 Córdoba, España;+34 957 82 28 22;https://www.ocasioncasa.com/;49;870;;
Inmobiliaria en Córdoba | Inmobiliaria Joaquin;Av. de Jesús Rescatado, 1, Levante, 14010 Córdoba, España;+34 957 82 30 00;https://inmobiliariajoaquin.es/?utm_source=gmb&utm_medium=click&utm_campaign=ficha_gmb_jesus;46;660;;
Habitaria.net Inmobiliaria en Córdoba;C. Luis Valenzuela, 12, Levante, 14007 Córdoba, España;+34 957 83 59 12;http://www.habitaria.net/;50;460;;
Casas de Andalucía Inmobiliaria;C. Sagunto, 21, Levante, 14007 Córdoba, España;+34 957 83 78 85;https://www.casasdeandaluciainmobiliaria.com/;38;170;;
Tecnocasa agencia inmobiliaria;Av. Granada, 14, local, Sur, 14009 Córdoba, España;+34 957 83 87 64;https://cordoba9.tecnocasa.es/;49;750;;
Una Soluciones Inmobiliarias;C. Concepción, 10, 1o b, Centro, 14008 Córdoba, España;+34 957 84 14 64;http://unasolucionesinmobiliarias.com/;42;110;;
Jade Grupo Inmobiliario CENTRO;Pl. Chirinos, 4, Centro, 14001 Córdoba, España;+34 957 84 39 00;http://inmobiliariajade.es/;41;130;;
Azalea Homes Inmobiliaria;C. Platero Pedro de Bares, 39, Levante, 14007 Córdoba, España;+34 957 92 72 00;http://www.azaleahomes.es/;49;1060;;
Tecnocasa agencia inmobiliaria;Av. Virgen de Fátima, 44, Levante, 14014 Córdoba, España;+34 957 94 19 79;https://cordoba6.tecnocasa.es/;45;740;;
Inmobiliaria Forte;C. López Amo, 1, Nte. Sierra, 14006 Córdoba, España;+34 957 94 73 68;http://www.inmobiliariaforte.es/;30;130;;
Inmobiliaria Séneca;Calle Historiador Díaz del Moral, C. Morería, 1, Local Esquina, Centro, 14008 Córdoba, España;+34 957 95 80 65;https://www.inmobiliariaseneca.es/;46;1070;;
Tecnocasa agencia inmobiliaria;Glorieta Cdad. de Córdoba, 0, 1 esc 7 local, Sur, 14013 Córdoba, España;+34 957 96 67 68;https://cordoba16.tecnocasa.es/;50;210;;
