,Unnamed: 0,name,address,international_phone_number,url,rating,reviews_count,language,comment,phone_1,phone_2,e-mail_1,e-mail_2,message,email_2
34,34,Fincas Urizar S.L.,"Joaquin Jose Landazuri Kalea, 13, 01008 Vitoria-Gasteiz, Araba, España",34945142425.0,,3.8,18.0,es,Google reviews: 3.8* / 18,,,,,error: No contact information found.,
35,35,MundoInmobiliario,"Bake kalea, 5, 01004 Vitoria-Gasteiz, Araba, España",34649365816.0,,3.6,29.0,es,Google reviews: 3.6* / 29,,,,,error: No contact information found.,
36,36,Mountain View Real Estate,"General Alava Kalea, 28, 01005 Vitoria-Gasteiz, Araba, España",,https://www.mure.es/contacto/,2.2,41.0,es,Google reviews: 2.2* / 41,+34945230677,,info@mvre.es,,success,
37,37,NAYSA Servicios Inmobiliarios,"Av. Santiago, 25, 01003 Vitoria-Gasteiz, Álava, España",,http://www.naysainmobiliaria.com/,3.9,39.0,en,Google reviews: 3.9* / 39,+34945201760,34638575733.0,info@naysainmobiliaria.com,,success,
38,38,PisosVitoria.com,"C. El Prado, 6, Of-2, 01005 Vitoria-Gasteiz, Álava, España",,https://www.pisosvitoria.com/,4.6,120.0,es,Google reviews: 4.6* / 120,+34945274742,,info@pisosvitoria.com,,success,
39,39,Belén Urrutxi Casas a Punto Álava,"Fundadora de las Siervas de Jesus Kalea, 19, 01001 Vitoria-Gasteiz, Araba, España",,http://www.belenurrutxi.com/,4.5,25.0,es,Google reviews: 4.5* / 25,+34945095813,34625704822.0,hola@belenurrutxi.com,,success,
40,40,Fincas Arriaga,"Arriagako Atea Kalea, 5, 01012 Vitoria-Gasteiz, Araba, España",,http://www.fincasarriaga.com/,3.2,51.0,es,Google reviews: 3.2* / 51,+34945154118,34603591113.0,,,success,
41,41,Siv Gasteiz,"Monseñor Estenaga Kalea, 01002 Vitoria-Gasteiz, Araba, España",34945561939.0,,2.2,25.0,es,Google reviews: 2.2* / 25,,,,,error: No contact info found,
42,42,InmoVITORIA,"Av. Gasteiz, 90, 01012 Vitoria-Gasteiz, Álava, España",,http://inmovitoria.com/,4.6,33.0,es,Google reviews: 4.6* / 33,+34696598726,,inmo@globalzom.com,,success,
43,43,comprarcasa Ábside,"Fundadora de las Siervas de Jesus Kalea, 7, 01001 Vitoria-Gasteiz, Araba, España",34945022022.0,https://www.comprarcasa.com/,3.0,2.0,es,Google reviews: 3* / 2,+34912063787,,comprarcasa@comprarcasa.com,,succes,
44,44,FINCAS MAJUELO,"San Frantzisko K., 5, 01001 Vitoria-Gasteiz, Araba, España",34945232911.0,,2.7,3.0,es,Google reviews: 2.7* / 3,,,,,error: {} No contact information found.,
45,45,Coisa Gestión de Inmuebles S.L,"Askatasun Kalea, 6, 01002 Vitoria-Gasteiz, Araba, España",,http://www.libertad6gestion.com/,4.0,1.0,es,Google reviews: 4* / 1,+34945270577,,info@libertad6gestion.com,,success,
46,46,Piso acogedor y tranquilo en el centro de Gasteiz,"Navarro Villoslada Kalea, 6, 01012 Vitoria-Gasteiz, Araba, España",34605737134.0,https://www.alojazmientos.com/,,,es,Google reviews: * / None,+34699078580,,alojazmientos@gmail.com,,success,
47,47,Piso Segur,"Pl. de España, 13, 2º, 01001 Vitoria-Gasteiz, Álava, España",34682339328.0,,5.0,1.0,es,Google reviews: 5* / 1,,,,,error: no contact information found,
48,48,Alquiler de Confianza Vitoria,"Julian de Apraiz Kalea, 23, 01012 Vitoria-Gasteiz, Araba, España",34945492008.0,https://www.alquilerdeconfianza.com/seguro-impago-alquiler-vitoria/,,,en,Google reviews: * / None,+34678999-8212,,info@alquilerdeconfianza.com,,success,
49,49,Adania,"Plaza Amárica, 5, 01005 Vitoria-Gasteiz, Araba, España",34945143308.0,http://www.adania.es/,2.5,51.0,es,Google reviews: 2.5* / 51,,,,,error: {} No contact information found on the webpage.,
50,50,Fincas 20 20,"C. Florida, 17-1º, Oficina 1, 01005 Vitoria-Gasteiz, Álava, España",,http://fincas2020.com/,4.8,4.0,es,Google reviews: 4.8* / 4,+34688757562,,info@fincas2020.com,,success,
51,51,Pisos en venta y alquiler en Vitoria,"Portal del Rey, 3, oficina 9, 01001 ALAVA, Álava, España",,,,,es,Google reviews: * / None,,,,,error: {} No contact information found in the provided content.,
52,52,Avenida Inmobiliaria,"Av. Gasteiz, 44, 01008 Vitoria-Gasteiz, Álava, España",,http://www.avenidainmobiliaria.com/,3.6,65.0,es,Google reviews: 3.6* / 65,+34945158202,,avenida@avenidainmobiliaria.com,,success,
53,53,"Piso céntrico, perfecto para familias con niños","Coronación de la Virgen Blanca Kalea, 26, 01012 Vitoria-Gasteiz, Araba, España",34605737134.0,https://www.alojazmientos.com/,,,es,Google reviews: * / None,+34699078580,,alojazmientos@gmail.com,,success,
54,54,UVICAMP INMOBILIARIA Y TRANSACCIONES AGRICOLAS,"PASEO SANCHO ABARCA, S/N, bajo. 01300, 01300 Laguardia, Araba, España",,https://www.uvicamp.es/,4.4,15.0,es,Google reviews: 4.4* / 15,+34945600612,34676787908.0,,,success,
55,55,Inmobiliaria Proal S.A.,"San Prudencio Kalea, 8, 01005 Vitoria-Gasteiz, Araba, España",34945142478.0,,1.0,1.0,es,Google reviews: 1* / 1,,,,,error: No contact information found.,
56,56,versátile,"Joaquin Jose Landazuri Kalea, 13, 01008 Vitoria-Gasteiz, Araba, España",34945141409.0,,4.5,2.0,es,Google reviews: 4.5* / 2,,,,,error: No contact information found on the page.,
57,57,Iradier Inmobiliaria,"Manuel Iradier Kalea, 58, 01005 Vitoria-Gasteiz, Araba, España",,https://iradierinmobiliaria.com/,4.9,118.0,es,Google reviews: 4.9* / 118,+34945660466,,info@iradierinmobiliaria.com,,success,
58,58,INMOBILIARIA FOURNIER,"Txirula,1 (Esq.Heraclio Fournier,2, 01006 Vitoria-Gasteiz, Álava, España",34636959717.0,,4.7,92.0,es,Google reviews: 4.7* / 92,,,,,error: No contact information found.,
59,59,INMO GASTEIZ A&M,"Errioxa K., 22, Bajo, 01005 Vitoria-Gasteiz, Araba, España",,http://alquilerymediacion.com/,3.0,62.0,es,Google reviews: 3* / 62,+34945002629,34688714495.0,oficina@alquilerymediacion.com,,succes,
60,60,Inmolakua,"Av. Gasteiz, 71, Txagorritxu, 01009 Vitoria-Gasteiz, Álava, España",,http://www.inmolakua.com/,4.7,40.0,es,Google reviews: 4.7* / 40,+34945107109,34609010016.0,info@inmolakua.com,,success,alberto@inmolakua.com
61,61,Inmobiliaria Agurain,"El Pilar, 3, 01012 Vitoria-Gasteiz, Araba, España",34623272885.0,http://www.inmobiliaria-agurain.com/,3.7,7.0,es,Google reviews: 3.7* / 7,+34945300480,34676434183.0,info@inmobiliaria-agurain.com,,success,
62,62,RK Vitoria inmobiliaria,"C. Jesús Guridi, 1, 01004 Vitoria-Gasteiz, Álava, España",,https://www.inmobiliariavitoria.com/,5.0,9.0,es,Google reviews: 5* / 9,+34945202863,,asesor@inmobiliariavitoria.es,,success,
63,63,ARBELLA Inmobiliaria y Administración de Fincas,"Esquina con Florida, Angulema Kalea, 12, 01004 Vitoria-Gasteiz, Araba, España",,https://www.arbella.eus/,3.0,44.0,es,Google reviews: 3* / 44,+34945250835,,saleta@arbella.eus,,success,info@arbella.eus
64,64,Inmo Vitoria Local Disponible,"Cl. Reyes Católicos, 9, 01013 Vitoria-Gasteiz, Álava, España",,,,,es,Google reviews: * / None,,,,,error: No contact information found.,
65,65,Compramostupisovitoria,"Martxoak 8 Etorbidea, 17A, Salburua, 01002 Vitoria-Gasteiz, Álava, España",,,5.0,1.0,es,Google reviews: 5* / 1,,,,,error: No contact information found.,
66,66,Fincas Zubiri Servicios Inmobiliarios,"En supermercado Eroski, Av. Santiago, 47, 01003 Vitoria-Gasteiz, Álava, España",,https://fincaszubiri.com/,4.5,2.0,es,Google reviews: 4.5* / 2,+34945001283,34945158081.0,info@fincaszubiri.com,,"too many offices, not giving contacts to avoid misunderstanding",
67,67,"Inversiones y Servicios Arrasate, S.A.","La, Florida Kalea, 64, 01004 Vitoria-Gasteiz, Araba, España",,http://www.grupoarrasate.com/,4.0,1.0,es,Google reviews: 4* / 1,+34946790381,34943771411.0,info@grupoarrasate.com,,success,arrasate@grupoarrasate.com
68,68,Zadure,"Alberto Schommer Kalea, 3, bajo, 01006 Vitoria-Gasteiz, Araba, España",34945220450.0,,,,es,Google reviews: * / None,,,,,error: No contact information found.,
69,69,Apartamentos Aola,"Francia Kalea, 7, 01002 Vitoria-Gasteiz, Araba, España",34945256757.0,,3.7,6.0,es,Google reviews: 3.7* / 6,,,,,error: No contact info found in the provided data.,
70,70,Prolux Internacional S L,"Casa Blanca Pol., 01300, Araba, España",34945625507.0,,5.0,1.0,es,Google reviews: 5* / 1,,,,,error: {} No contact information found.,
71,71,Gestoría Anitua,"Jose Mardones Kalea, 16, 01003 Vitoria-Gasteiz, Araba, España",34945286655.0,http://www.gestoriaanitua.com/,3.7,35.0,es,Google reviews: 3.7* / 35,,,,,error: couldn't access the webpage or the page might be down.,
72,72,Ofi Araba,"01002 Vitoria-Gasteiz, Álava, España",,,,,es,Google reviews: * / None,,,,,error: No contact information available in the provided data.,
73,73,Torre 014,"Bulevar de Salburua Kalea, 8, Salburua, 01004 Vitoria-Gasteiz, Araba, España",34945123856.0,,4.0,20.0,es,Google reviews: 4* / 20,,,,,error: No contact information found.,
74,74,GRUPO EMPRESARIAL - Asha Arregui S.L,"Portal de Legutiano Kalea, 01013 Vitoria-Gasteiz, Araba, España",34628444048.0,,,,es,Google reviews: * / None,,,,,error: No contact information found on the page.,
75,75,Vive Vitoria en la Almendra Medieval. Pintoreria,"Pintore K., 9, 01001 Vitoria-Gasteiz, Araba, España",,,5.0,1.0,es,Google reviews: 5* / 1,,,,,error: No contact information found.,
76,76,Grupo Nergosa,"Calle Ramon Ortiz de Zarate, 14, Bajo, 01005 Vitoria-Gasteiz, Araba, España",34945149251.0,http://nergosa.com/,,,es,Google reviews: * / None,,,,,error: {No contact information found on the page.,
77,77,Gip Xxi Gasteiz S L,"San Prudencio Kalea, 29, 01005 Vitoria-Gasteiz, Araba, España",34945140000.0,,,,es,Google reviews: * / None,,,,,error: {},
78,78,Vive Vitoria en la Almendra Medieval. NF28,"Nueva Fuera Kalea, 28, 01001 Vitoria-Gasteiz, Araba, España",,,,,es,Google reviews: * / None,,,,,error: No contact information found.,
79,79,Gestalia Consulting,"C, General Alava Kalea, 28, 01005 Vitoria-Gasteiz, Araba, España",,http://gestaliaconsulting.es/,1.8,5.0,es,Google reviews: 1.8* / 5,+34945234131,,info@gestaliaconsulting.com,,success,
80,80,Inmobiliaria Dato40,"Eduardo Dato Kalea, 40, 01005 Vitoria-Gasteiz, Araba, España",,http://www.dato40.com/,4.1,47.0,es,Google reviews: 4.1* / 47,+34945151723,34661923236.0,,,success,
81,81,Vitalquiler,"Manuel Iradier Kalea, 11, 01005 Vitoria-Gasteiz, Araba, España",,http://alquilerenvitoria.com/,3.3,80.0,es,Google reviews: 3.3* / 80,+34945143308,,alquiler@adania.es,,success,
82,82,Gestión inmobiliaria Salinas,"C. El Prado, 11, 01005 Vitoria-Gasteiz, Álava, España",,https://gestioninmobiliariasalinas.com/,5.0,1.0,es,Google reviews: 5* / 1,+34635712971,34635712971.0,eruizsalinas@gmail.com,eruizsalinas@gmail.com,"too many offices, not giving contacts to avoid misunderstanding",
83,83,Alquiler Seguro,"Eduardo Dato Kalea, 40, 01005 Vitoria-Gasteiz, Araba, España",,http://www.alquilerseguro.es/,3.9,461.0,es,Google reviews: 3.9* / 461,+34910775775,,info@alquilerseguro.es,,success,
84,84,servigesvit,"Manuel Iradier Kalea, 01005 Vitoria-Gasteiz, Araba, España",34672370531.0,,,,es,Google reviews: * / None,,,,,error: No contact information found.,
85,85,Marta Bengochea Inmobiliaria,"Laskarai Kalea, 6bis, 1ºof-8, 01008 Vitoria-Gasteiz, Araba, España",,http://www.martabengochea.com/,5.0,5.0,es,Google reviews: 5* / 5,+34669748473,,marta@martabengochea.com,,success,
86,86,Sia Servicios Inmobiliarios,"Paseo la Musica, 1, 01007 Vitoria-Gasteiz, Araba, España",,http://www.siaservicios.es/,3.7,52.0,es,Google reviews: 3.7* / 52,+34945128060,,info@siaservicios.es,,success,
87,87,Araiz - Personal Shopper Inmobiliario,"Koldo Mitxelena Kalea, 7, bajo, 01008 Vitoria-Gasteiz, Álava, España",,https://www.araiz.org/,4.0,4.0,es,Google reviews: 4* / 4,+34625333777,,,,succes,
88,88,"Piso junto al centro histórico, garaje incluido","Badaia Kalea, 29, 01012 Vitoria-Gasteiz, Araba, España",34605737134.0,https://www.alojazmientos.com/,,,es,Google reviews: * / None,+34699078580,,alojazmientos@gmail.com,,success,
89,89,Gestión Inmobiliaria Vitoria,"Nazio Batuen Hiribidea, 37, 01015 Vitoria-Gasteiz, Araba, España",34600527326.0,,5.0,6.0,es,Google reviews: 5* / 6,,,,,error: No contact information found.,
90,90,Fincas Zubiri Servicios Inmobiliarios,"Ramiro de Maeztu Kalea, 4, 01008 Vitoria-Gasteiz, Araba, España",34679049879.0,http://fincaszubiri.com/,2.0,12.0,es,Google reviews: 2* / 12,+34945001283,34945158081.0,info@fincaszubiri.com,,"too many offices, not giving contacts to avoid misunderstanding",
91,91,Basalde Grupo Inmobiliario S.L. Unipersonal,"Pintor Jesus Apellaniz Kalea, 17, 01008 Vitoria-Gasteiz, Araba, España",34945241670.0,,2.0,1.0,es,Google reviews: 2* / 1,,,,,error: No contact information found.,
92,92,SAR vivienda,"01008 Vitoria-Gasteiz, Álava, España",,https://www.sarvivienda.com/,1.9,9.0,es,Google reviews: 1.9* / 9,+34945271635,34639944853.0,info@sarvivienda.com,,success,
93,93,Auditoría Inmobiliaria,"Cl. San Prudencio, 6, 2º, 01005 Vitoria-Gasteiz, Álava, España",34617750491.0,,,,es,Google reviews: * / None,,,,,error: No contact information found.,
94,94,Inmobiliaria Lagun Vitoria,"Jose Atxotegi Kalea, 26, 01009 Vitoria-Gasteiz, Araba, España",34676500443.0,,2.8,5.0,es,Google reviews: 2.8* / 5,,,,,error: {} No contact information found.,
95,95,Vivienda y Suelo de Euskadi S.A.,"Adriano VI Kalea, 16, 01008 Vitoria-Gasteiz, Araba, España",34902350005.0,http://www.visesa.eus/,2.5,2.0,es,Google reviews: 2.5* / 2,+34945214038,34946612620.0,gasteiz@visesa.eus,bilbao@visesa.eus,"too many offices, not giving contacts to avoid misunderstanding",
96,96,Ados Fincas,"Adriano VI Kalea, 35, 01008 Vitoria-Gasteiz, Araba, España",34945230688.0,,1.6,7.0,es,Google reviews: 1.6* / 7,,,,,error: No contact information found in the provided data.,
97,97,Habitaciones Vitoria,"Bolivia Kalea, 14, Txagorritxu, 01009 Vitoria-Gasteiz, Araba, España",,https://www.instagram.com/habitacionesvitoria,5.0,4.0,es,Google reviews: 5* / 4,,,,,error: {} (No contact information found on the provided webpage.),
98,98,INMOGESTIÓN Y SERVICIOS GASTEIZ,"Badaia Kalea, 22, 01012 Vitoria-Gasteiz, Araba, España",,,,,es,Google reviews: * / None,,,,,error: No contact information available.,
99,99,Piso céntrico con patio interior,"Eulogio Serdan Kalea, 20, 01012 Vitoria-Gasteiz, Álava, España",34605737134.0,https://www.alojazmientos.com/,,,es,Google reviews: * / None,+34699078580,,alojazmientos@gmail.com,,success,
100,100,VASCONSULT,"Basoa Kalea, 5, 01012 Vitoria-Gasteiz, Araba, España",34945244087.0,http://vasconsult.es/,,,es,Google reviews: * / None,,,,,error: No contact information found.,
101,101,KOKETXE FINCAS,"Luis Heintz Kalea, 1, Bajo, 01005 Vitoria-Gasteiz, Álava, España",34945313254.0,,4.0,2.0,es,Google reviews: 4* / 2,,,,,error: No contact information found.,
102,102,Portal del rey,"3º I, Avenida Beato Tomás de Zumárraga, 30, 01012 Vitoria-Gasteiz, Araba, España",34648134531.0,,,,es,Google reviews: * / None,,,,,error: No contact information found.,
103,103,"Realtyplus, Vitoria","Junto al Notaria Sofia Lakua, Antonio Machado Kalea, 35, 01010 Vitoria-Gasteiz, Araba, España",34676297766.0,,,,es,Google reviews: * / None,,,,,error: No contact information found.,
104,104,BSI Real Estate,"Pje las Antillas, 14, 01012 Vitoria-Gasteiz, Álava, España",34902808760.0,,2.0,1.0,es,Google reviews: 2* / 1,,,,,error: {} No contact information available.,
105,105,Vallejo S C,"Estella Kalea, 9, 01010 Vitoria-Gasteiz, Araba, España",34623232634.0,,,,es,Google reviews: * / None,,,,,error: No contact information found.,
106,106,"Birloya, S.L.","Edificio Mega, Adriano VI Kalea, 20, 01008 Vitoria-Gasteiz, Araba, España",34945216509.0,,,,es,Google reviews: * / None,,,,,error: {} No contact information found.,
107,107,inmoblog,"Los Olmos, Gasteiz Hiribidea, 1, 01013 Vitoria-Gasteiz, Álava, España",34678418136.0,https://www.inmoblog.com/,5.0,2.0,es,Google reviews: 5* / 2,,,,,error: {},
108,108,UCIEZA SERVICIOS INMOBILIARIOS INDUSTRIALES,"Poligono industrial de Jundiz, Mendigorritxu Kalea, 128, 01015 Vitoria-Gasteiz, Araba, España",,http://www.ucieza.net/,4.8,46.0,es,Google reviews: 4.8* / 46,+34603357999,,info@ucieza.net,,success,
109,109,Larcovi S A L,"Bremen Kalea, 19, 01010 Vitoria-Gasteiz, Araba, España",34945305587.0,,4.0,1.0,es,Google reviews: 4* / 1,,,,,error: No contact information found.,
110,110,Jaureguizar,"Sofia Erreginaren Hiribidea, 1, 01015 Vitoria-Gasteiz, Araba, España",,,,,es,Google reviews: * / None,,,,,error: No information found,
111,111,GoAwayCamper,"Lermandabidea Kalea, 9, 01015 Vitoria-Gasteiz, Araba, España",34684340051.0,http://www.goawaycamper.com/,4.9,119.0,es,Google reviews: 4.9* / 119,,,,,error: Error sending request for url (https://goawaycamper.com/contacto),
112,112,Iruñalan,"Alberto Acero Plaza, 13, 01400 Laudio / Llodio, Araba, España",,http://irunalan.com/,4.0,43.0,es,Google reviews: 4* / 43,+34946720253,,info@irunalan.com,,success,
113,113,Arabako Industrialdea S.A,"Uzbina Kalea, 24, 01015 Vitoria-Gasteiz, Araba, España",34945291215.0,,,,es,Google reviews: * / None,,,,,error: No contact information found in the provided data.,
114,114,Aiala Inmobiliaria,"Batzalarrin Kalea, 9, 01400 Laudio / Llodio, Araba, España",,http://www.aialainmobiliaria.com/es,4.3,25.0,es,Google reviews: 4.3* / 25,+34676998208,34609903377.0,,,success,
115,115,Nave Industrial Álava,"A-3006, 01170 Legutio, Araba, España",34945278846.0,,3.0,1.0,es,Google reviews: 3* / 1,,,,,error: No contact information found.,
116,116,Estali,"Inbisa. D4-140 bulegoa, Los Olmos Kalea, 01520, Araba, España",34945261882.0,http://estali.eus/,,,es,Google reviews: * / None,,,,,error: No contact information found on the page.,
