,name,address,international_phone_number,url,rating,reviews_count,language,comment,zip_code,phone_1,phone_2,e-mail_1,e-mail_2,message
10,VIP HOME INMOBILIARIA,"Albacete Capital, C. Octavio Cuartero, 70, 02004 Albacete, España",,http://www.viphomeinmobiliaria.com/,4.9,51.0,es,Google reviews: 4.9* / 51,2004.0,34967858071.0,,viphome@viphomeinmobiliaria.com,,success
11,JvJ AlbaRealty Inmobiliaria,"C. Caba, 35, 02001 Albacete, España",,https://www.jvjinmobiliaria.com/,4.3,56.0,es,Google reviews: 4.3* / 56,2001.0,34967612718.0,,info@jvjinmobiliaria.com,,success
12,INMOBILIARIA TEJARES,"C. Arquitecto Vandelvira, 25, 02003 Albacete, España",34967130135.0,https://www.inmobiliariatejares.com/,4.5,109.0,es,Google reviews: 4.5* / 109,2003.0,,,,,error: no webpage (access blocked by the security service of the site)
13,drshabitat,"C. Parra, 31, A, 02002 Albacete, España",,http://www.drshabitat.com/,4.8,49.0,es,Google reviews: 4.8* / 49,2002.0,34967672626.0,,drshabitat@gmail.com,,success
14,Juan Carlos Alfaro: Monapart | Inmobiliaria,"C. Caba, 20, BAJO, 02001 Albacete, España",34967601215.0,https://www.monapart.com/agentes/juancarlos-alfaro,5.0,62.0,en,Google reviews: 5* / 62,2001.0,,,,,"error: Transform failed, HTML does not have valid markup."
15,Inmobiliaria Haunted House,"C. Rosario, 32, 02001 Albacete, España",,http://www.inmohauntedhouse.com/,4.8,22.0,es,Google reviews: 4.8* / 22,2001.0,34967880536.0,34644776023.0,info@inmohauntedhouse.com,,success
16,GL Servicios Inmobiliarios,"C. Industria, 9, 02005 Albacete, España",,http://www.glinmuebles.com/,4.5,101.0,es,Google reviews: 4.5* / 101,2005.0,34967043127.0,,,,success
17,Viviendasalbacete,"C. Rosario, 65, Bajo, 02003 Albacete, España",34611423366.0,https://www.viviendasalbacete.com/,4.6,28.0,es,Google reviews: 4.6* / 28,2003.0,34967256847.0,34608769419.0,viviendasalbacete@gmail.com,,success
18,Venta de Pisos en Albacete - La Noria Inmobiliaria.,"C/ Feria, 42, 2ª Entreplanta, 02005 Albacete, España",34967603695.0,https://www.lanoriainmobiliaria.com/,4.1,48.0,es,Google reviews: 4.1* / 48,2005.0,,,,,error: no webpage (error sending request for url)
19,La Mancha Servicios Inmobiliarios,"C. la Roda, 15a, 02006 Albacete, España",,http://www.inmobiliarialamancha.es/,4.6,124.0,es,Google reviews: 4.6* / 124,2006.0,34967044815.0,34657189069.0,inmobiliarialamancha@hotmail.com,,success
20,Gestcasa Gestion Inmobiliaria Albacete,"C. Pedro Martínez Gutiérrez, 17, 02004 Albacete, España",,http://www.gestcasa.com/,4.6,22.0,es,Google reviews: 4.6* / 22,2004.0,34967550539.0,34967543178.0,gestcasa@gestcasa.com,gestcasahellin@gestcasa.com,success
21,Soluziones Inmobiliarias,"Pl. Isabel II, 1, Entreplanta 5, 02005 Albacete, España",,https://www.soluzionesinmobiliarias.com/,4.7,15.0,es,Google reviews: 4.7* / 15,2005.0,34967672726.0,,info@soluzionesinmobiliarias.com,,success
22,Germán- Gestión de inmuebles,"Pl. Benjamín Palencia, 2, Entreplanta, 02002 Albacete, España",34967790527.0,,4.9,30.0,es,Google reviews: 4.9* / 30,2002.0,,,,,error:no webpage
23,La Casita Inmobiliaria,"C. Baños, 46, 02005 Albacete, España",34601233102.0,http://www.lacasitainmobiliaria.es/,4.1,33.0,en,Google reviews: 4.1* / 33,2005.0,34967505867.0,,lacasita@lacasitainmobiliaria.com,,success
24,TU PRIMER PLANO,,,https://www.tuprimerplano.es/,4.6,30.0,es,Google reviews: 4.6* / 30,,34967680058.0,34687289834.0,info@tuprimerplano.es,,success
25,INMOBILIARIA GLOBAL,"C. Alcalde Conangla, 4, 02001 Albacete, España",34601257653.0,,5.0,3.0,es,Google reviews: 5* / 3,2001.0,,,,,error:no webpage
26,"Urbanal, Promotora-Inmobiliaria, pisos y viviendas de obra nueva en Albacete","Calle Dr. Collado Piña, 17, 02003 Albacete, España",,https://www.urbanal.com/,4.7,138.0,es,Google reviews: 4.7* / 138,2003.0,34967229610.0,,,,success
27,Solvia Inmobiliaria,"Pl. Isabel II, 3, 02005 Albacete, España",34967544418.0,http://www.solvia.es/,4.6,68.0,es,Google reviews: 4.6* / 68,2005.0,,,,,error: no webpage
28,Intermediaciones Inmobiliarias,"C. Dionisio Guardiola, 61, Bajo, 02004 Albacete, España",,https://www.intermediacionesinmobiliarias.com/,3.5,11.0,es,Google reviews: 3.5* / 11,2004.0,34967031342.0,34627304756.0,albacete@intermediacionesinmobiliarias.com,,success
29,Que Pisos Inmobiliaria. Albacete,"C. Salamanca, 02001 Albacete, España",34621283602.0,http://www.inmobiliariatarazona.es/,5.0,1.0,es,Google reviews: 5* / 1,2001.0,34967480198.0,,info@inmobiliariatarazona.es,,success
30,Albapisos Grupo Inmobiliario,"C. Cervantes, 2, Oficina I, 02001 Albacete, España",,https://www.albapisos.com/,4.0,12.0,es,Google reviews: 4* / 12,2001.0,34670376976.0,,info@albapisos.com,,success
31,HABAIT INMOBILIARIA ALBACETE,"C. Antonio Machado, 8, 02003 Albacete, España",34623200663.0,,4.8,8.0,es,Google reviews: 4.8* / 8,2003.0,,,,,error:no webpage
32,INMOALBA 2000 SL - INMOBILIARIA ALBACETE,"C. Antonio Machado, Nº63, 02004 Albacete, España",,http://www.inmoalba2000.com/,3.7,9.0,es,Google reviews: 3.7* / 9,2004.0,34967191150.0,34696460364.0,info@inmoalba2000.com,,success
33,CINCO INMOBILIARIA,"C. Rosario, 57, 02003 Albacete, España",34967225250.0,,5.0,1.0,es,Google reviews: 5* / 1,2003.0,,,,,error:no webpage
34,Sanchez del Rio Agencia Inmobiliaria,"C. Virgen de las Maravillas, 11, 02004 Albacete, España",,http://www.sanchezrio.com/,4.0,11.0,es,Google reviews: 4* / 11,2004.0,34967504206.0,,oficina@sanchezrio.com,,success
35,Intural,"C. Zapateros, 22, 02001 Albacete, España",,http://www.intural.com/,3.2,5.0,es,Google reviews: 3.2* / 5,2001.0,34967667738.0,34967667739.0,,,success
36,Inmogestion Albacete,"P.º la Libertad, 19, 02001 Albacete, España",,http://www.inmogestionalbacete.es/,4.4,7.0,es,Google reviews: 4.4* / 7,2001.0,34654422975.0,,,,success
37,Impulso Inmobiliario,"Calle Dr. Collado Piña, 17, 1D, 02003 Albacete, España",,http://www.impulsoinmobiliario.com/,2.9,47.0,es,Google reviews: 2.9* / 47,2003.0,34967217788.0,,,,success
38,Novacasa Albacete Inmobiliaria,"Av. Arquitecto Julio Carrilero, 33, 02005 Albacete, España",,http://www.novacasaalbacete.es/,3.9,20.0,es,Google reviews: 3.9* / 20,2005.0,34967660101.0,,info@novacasaalbacete.es,,success
39,API Vicente Orozco,"Calle Pablo Medina, Chaflán con, C. San Antonio, 1 - Bajo, 02001 Albacete, España",,http://www.apivicenteorozco.com/,3.7,7.0,es,Google reviews: 3.7* / 7,2001.0,34967212002.0,,inmobiliaria@apivicenteorozco.com,,success
40,TORRECASTILLA GESTION INMOBILIARIA,"Calle Dr. Collado Piña, 17, 02003 Albacete, España",,http://www.torrecastilla.net/,4.8,4.0,es,Google reviews: 4.8* / 4,2003.0,34967590517.0,,info@torrecastilla.net,,success
41,Inmobiliaria alquilofacil y vendofacil,"Av. Ramón y Cajal, 43, 02005 Albacete, España",34630905800.0,http://www.alquilofacil.es/,3.9,60.0,es,Google reviews: 3.9* / 60,2005.0,34977756012.0,,info@alquilofacil.es,,success
42,Inmobiliaria 10,"C. Tesifonte Gallego, 14, Entreplanta - Oficina 1, 02002 Albacete, España",34687519320.0,http://www.inmobiliaria10.es/,3.0,5.0,es,Google reviews: 3* / 5,2002.0,34967666204.0,34670283372.0,inmobiliaria10@inmobiliaria10.es,,success
43,Inmobiliaria Gómez Torres,"Calle Dionisio Guardiola, 15 2 ENTP(C, 02002 Albacete, España",,http://www.inmobiliariagomeztorres.com/,2.5,18.0,es,Google reviews: 2.5* / 18,2002.0,34967550680.0,34670657005.0,inmobiliaria@gomeztorres.com,,success
44,Inmobiliaria Centro,"C. Rosario, 6, 2ª, 02001 Albacete, España",,https://www.inmobiliaria-centro.es/,2.3,6.0,es,Google reviews: 2.3* / 6,2001.0,34967023237.0,,info@inmobiliaria-centro.es,,success
45,Inmobiliaria Tarruella,"C. Tesifonte Gallego, 14, 02002 Albacete, España",34967505507.0,http://www.tarruella.com/,3.9,25.0,es,Google reviews: 3.9* / 25,2002.0,,,inmobiliaria@tarruella.com,,success
46,Hipercasa Inmobiliaria,"Av. Guardia Civil, 42, 02005 Albacete, España",34967550727.0,http://www.hipercasa.info/,4.0,8.0,es,Google reviews: 4* / 8,2005.0,,,,,error:no webpage
47,Agencia Inmobiliaria en Albacete MARÍN PUNTO INMOBILIARIO,"Av. Isabel la Católica, 40, ENTREPLANTA 3C, 02005 Albacete, España",34670839857.0,,3.0,17.0,es,Google reviews: 3* / 17,2005.0,,,,,error:no webpage
48,Estudio Meraki,"C. Octavio Cuartero, 19, 02003 Albacete, España",,https://estudiomeraki.com/,4.2,25.0,es,Google reviews: 4.2* / 25,2003.0,34967851503.0,,info@estudiomeraki.com,,success
49,CAMPO GESTION Inmobiliaria,"C. Octavio Cuartero, 20, Bajo, 02003 Albacete, España",,https://www.campoinmobiliaria.es/,3.2,6.0,es,Google reviews: 3.2* / 6,2003.0,34628222772.0,34967256529.0,info@campoinmobiliaria.es,,success
50,microin,"C. San Antonio, 9, 02001 Albacete, España",,https://www.microin.es/,5.0,2.0,es,Google reviews: 5* / 2,2001.0,34900907803.0,,,,success
51,Graciano Inmobiliaria,"C. Octavio Cuartero, 56, 02004 Albacete, España",,http://gracianoinmobiliaria.es/,3.5,12.0,es,Google reviews: 3.5* / 12,2004.0,34670392290.0,,info@gracianoinmobiliaria.es,,success
52,Fp Inmobiliaria,"Av. de España, 3, 02002 Albacete, España",,https://www.fpinmobiliaria.es/,2.3,12.0,es,Google reviews: 2.3* / 12,2002.0,34967244030.0,34618055322.0,info@fpinmobiliaria.es,,success
53,Lodares GestiÓn Inmobiliaria,"C. Baños, 1, bajo, 02004 Albacete, España",34967700804.0,,5.0,4.0,es,Google reviews: 5* / 4,2004.0,,,,,error:no webpage
54,GRUPO INMOBILIARIO MARTINEZ Y MUÑOZ S.L.,"C. Blasco Ibáñez, 40, 02004 Albacete, España",34967616633.0,,5.0,3.0,es,Google reviews: 5* / 3,2004.0,,,,,error:no webpage
55,Blue Rain Inmobiliaria,"Pl. la Constitución, 8, Entreplanta 2, 02002 Albacete, España",,http://www.inmobluerain.com/,3.4,9.0,es,Google reviews: 3.4* / 9,2002.0,34966937031.0,34967216806.0,denia@inmobluerain.com,albacete@inmobluerain.com,success
56,Inmobiliaria Soromar,"C. Arquitecto Vandelvira, 32, 02003 Albacete, España",,https://soromar.com/compramos-tu-propiedad,5.0,5.0,es,Google reviews: 5* / 5,2003.0,34623381719.0,,,,success
57,JOM INMOBILIARIA ALBACETE,"C. María Marín, 76, 02004 Albacete, España",,http://www.jom-inmobiliaria.es/,3.7,6.0,es,Google reviews: 3.7* / 6,2004.0,34693779764.0,34967704600.0,albacete@jom-inmobiliaria.es,,success
58,Atma Home,,34669460219.0,https://www.atmahome.es/,5.0,9.0,es,Google reviews: 5* / 9,,34624343767.0,,,,success
59,INMOALBA INMOBILIARIA ALBACETE,"C. Marqués de Molins, 02001 Albacete, España",,http://www.inmoalba2000.com/,,,es,Google reviews: * / None,2001.0,34967191150.0,34696460364.0,info@inmoalba2000.com,,success
60,Atenea Inmobiliaria Albacete,"C. Concepción, 1, 02002 Albacete, España",,https://pisosenalbacete.com/,3.0,4.0,es,Google reviews: 3* / 4,2002.0,34967445233.0,34670358459.0,,,success
61,SW SERVICIOS INMOBILIARIOS,"Av. de España, 33, bajo, 02002 Albacete, España",,http://www.inmobiliariasw.com/,5.0,1.0,es,Google reviews: 5* / 1,2002.0,34967702540.0,34692335445.0,info@inmobiliariasw.com,,success
62,Malaca Inmobiliaria,"Calle Dr. García Reyes, 1, 02002 Albacete, España",,https://malacainmobiliaria.com/,,,es,Google reviews: * / None,2002.0,34967619595.0,34610342733.0,info@malacainmobiliaria.com,,success
63,Domus Area,"C. Hermanos Falco, 4, 02002 Albacete, España",,http://www.domusarea.es/,5.0,1.0,es,Google reviews: 5* / 1,2002.0,34647478153.0,34607249272.0,info@domusarea.es,,success
64,Albaluz,"C. Marqués de Villores, 19, 02001 Albacete, España",34967616515.0,http://www.albaluz.es/,3.7,66.0,es,Google reviews: 3.7* / 66,2001.0,34626641031.0,34675752481.0,,,success
65,Albacete Inmobiliario,"Calle Prof. Macedonio Jiménez, 1, Bajo, 02006 Albacete, España",34689037773.0,,1.8,5.0,es,Google reviews: 1.8* / 5,2006.0,,,,,error:no webpage
66,DM Gestión Inmobiliaria,"02004 Albacete, España",34967663310.0,,2.7,26.0,es,Google reviews: 2.7* / 26,2004.0,,,,,error:no webpage
67,Consuelo Valera Inmobiliaria & Reformas,"C. Arquitecto Fernández, 44, 02005 Albacete, España",34967672707.0,,3.7,6.0,es,Google reviews: 3.7* / 6,2005.0,,,,,error:no webpage
68,Grupo Luxury Home,"C/ Granada, 44, 02005 Albacete, España",,https://www.grupoluxuryhome.es/,,,es,Google reviews: * / None,2005.0,34671639009.0,,administracion@grupoluxuryhome.es,,success
69,Grupo Olimpo Inmobiliaria,"C. Baños, 27, 02005 Albacete, España",34643376416.0,https://inmobiliariagrupoolimpo.es/,1.4,16.0,es,Google reviews: 1.4* / 16,2005.0,,,,,error: no webpage
70,Inual Gestión Inmuebles,"C. Imperial, 26, 02006 Albacete, España",34967225500.0,,3.3,3.0,es,Google reviews: 3.3* / 3,2006.0,,,,,error:no webpage
71,"Inmobiliaria RocSantHouse - Pisos, locales, Parcelas, Terrenos y más en Albacete.","C. Pedro Coca, 59, 02003 Albacete, España",,http://www.inmobiliariarocsanthouse.es/,,,es,Google reviews: * / None,2003.0,34627865955.0,34627865955.0,info@inmobiliariarocsanthouse.es,,success
72,Bolsa Inmobiliaria.casa,,34611657519.0,,,,es,Google reviews: * / None,,,,,,error:no webpage
73,Inmobiliaria Soromar,,,https://www.soromar.com/,,,es,Google reviews: * / None,,34623381719.0,,,,success
74,Inmobiliaria Chinchilla,"Calle del Tenor José Ferrero, s/n, Local 2, 02520 Chinchilla de Monte-Aragón, Albacete, España",34623605113.0,,5.0,13.0,es,Google reviews: 5* / 13,2520.0,,,,,error:no webpage
75,"Inmobiliaria y Seguros Albacete, S.L.","Pl. la Constitución, 15, 02049 Aguas Nuevas, Albacete, España",,https://www.alfainmosegurosalbacete.com/,,,es,Google reviews: * / None,2049.0,34632244787.0,,operacion@alfainmosegurosalbacete.com,,success
76,Inmobiliaria Tarazona,"C. Alfaro, 3, 02100 Tarazona de la Mancha, Albacete, España",,http://www.inmobiliariatarazona.es/,4.8,21.0,es,Google reviews: 4.8* / 21,2100.0,34967480198.0,,info@inmobiliariatarazona.es,,success
77,ABT INMOBILIARIA,"C. Alondra, 1, 2-D, 02200 Casas-Ibáñez, Albacete, España",,https://www.abtinmobiliaria.com/,4.9,142.0,es,Google reviews: 4.9* / 142,2200.0,34649920666.0,,info@abtinmobiliaria.com,,success
78,Inmobiliaria Gijon,"02100, 02005 Tarazona de la Mancha, Albacete, España",,http://www.inmobiliariagijon.com/,,,es,Google reviews: * / None,2100.0,34967480140.0,34639111565.0,,,success
79,Fincasa,"Pl. Mayor, 19, 02630 La Roda, Albacete, España",,http://www.fincasa.ws/,4.8,63.0,es,Google reviews: 4.8* / 63,2630.0,34967445368.0,34969387252.0,laroda@fincasa.ws,sisante@fincasa.ws,"too many offices, not giving contacts to avoid misunderstanding"
80,Inmobiliaria LLanos La Roda,"C. de la Tierra Blanca, 2, 02630 La Roda, Albacete, España",,http://www.llanosinmobiliaria.es/,4.9,15.0,es,Google reviews: 4.9* / 15,2630.0,34967444042.0,,info@llanosinmobiliaria.es,,success
81,Roda Inmobiliaria,"C. Nueva, nº 4, 02630 La Roda, Albacete, España",34967444162.0,,4.5,4.0,es,Google reviews: 4.5* / 4,2630.0,,,,,error:no webpage
82,LEGIDOS GESTIÓN INMOBILIARIA,"C. Batán, 15, Bajo B, 02210 Alcalá del Júcar, Albacete, España",,http://www.legidosinmobiliaria.com/,4.8,52.0,es,Google reviews: 4.8* / 52,2210.0,34617739390.0,,,,success
83,Alojamiento El Morico,"C. Andrés Ochando, 18, 02151 Casas de Juan Núñez, Albacete, España",34650031945.0,https://www.instagram.com/elmoricoalojamiento/,5.0,11.0,es,Google reviews: 5* / 11,2151.0,,,,,error:no contacts found on the webpage
84,Mediadores Inmobiliarios,"Calle del Tenor José Ferrero, S/N, Local 2, 02520 Chinchilla de Monte-Aragón, Albacete, España",34671192427.0,http://www.facebook.com/casasm.in,2.0,3.0,es,Google reviews: 2* / 3,2520.0,,,,,"error: Transform failed, HTML does not have valid markup."
85,Ibainm,"C. la Merced, 21, 02200 Casas-Ibáñez, Albacete, España",,http://www.ibainm.com/,3.2,10.0,es,Google reviews: 3.2* / 10,2200.0,34967461351.0,34621298915.0,clientes@ibainm.com,,success
86,La casona de Mahora,"Pl. la Mancha, 19, 02240 Mahora, Albacete, España",,http://www.lacasonademahora.com/,5.0,4.0,es,Google reviews: 5* / 4,2240.0,34626285383.0,34626285383.0,info@lacasonademahora.com,,success
87,Casa Rural Montes del Cabriel,"C. Rodríguez de la Fuente, 1, 02270 Villamalea, Albacete, España",,https://www.casaruralmontesdelcabriel.com/,4.8,61.0,es,Google reviews: 4.8* / 61,2270.0,34662188169.0,,montesdelcabriel@hotmail.com,,success
88,ALBACETE INMOBILIARIA,"C. Mayor, 67, 02002 Albacete, España",,,,,es,Google reviews: * / None,2002.0,,,,,error:no webpage
89,Intural,"Calle Francisco Baillo, 02300 Alcaraz, Albacete, España",34667692537.0,http://www.intural.es/,,,es,Google reviews: * / None,2300.0,34967667738.0,34967667739.0,,,success
90,FINCAS RUSTICAS OLIVARES,"C. Tejera, 28, 02326 San Pedro, Albacete, España",,http://fincasrusticasolivares.com/,,,es,Google reviews: * / None,2326.0,34606908069.0,34610905559.0,info@fincasrusticasolivares.com,,success
91,"Next House Hellín, S.L. Agencia inmobiliaria.","Centro de Negocios, C. Gran Vía, 22 bis, despacho 5, 02400 Hellín, Albacete, España",34616919322.0,https://www.donpiso.com/agente-josemiguel-sanchez?fbclid=IwAR3TJD03EEG53Aaw-0srxQrxIQ_EBqz6FfVBc09WU68FcIzFDsmoPWkVO0c,4.9,73.0,es,Google reviews: 4.9* / 73,2400.0,34933069090.0,,info@donpiso.com,,success
92,C2 Inmobiliaria Cobos & Cuerda,"C. Canteros, 49, 02400 Hellín, Albacete, España",,https://c2inmobiliaria.es/,4.7,15.0,es,Google reviews: 4.7* / 15,2400.0,34687852416.0,,,,success
93,CHACÓN Y GALEANO SL,"C. de la Paz, 02400 Hellín, Albacete, España",34649468312.0,https://www.airbnb.es/rooms/31517685?location=Hell%C3%ADn%2C%20Albacete&adults=1&guests=1&sl_alternate_dates_exclusion=true&source_impression_id=p3_1559191964_gcvV9stTt9quf1Sn,5.0,69.0,es,Google reviews: 5* / 69,2400.0,34.0,,,,success
94,Inmobiliaria Delene,"C. Cronista Antonio Ruescas, 1, 02400 Hellín, Albacete, España",,https://inmobiliariadelene.com/,3.7,58.0,es,Google reviews: 3.7* / 58,2400.0,34967304786.0,,inmobiliariadelene@gmail.com,,success
95,Inmobiliaria Sercasa,"C. de Antonio López del Oro, 7, bajo, 02400 Hellín, Albacete, España",,http://www.inmobiliariasercasa.es/,4.2,10.0,es,Google reviews: 4.2* / 10,2400.0,34967176254.0,34663105932.0,info@inmobiliariasercasa.es,,success
96,Servicasa Servicios Inmobiliarios,"C. Antonio Cifuentes Naharro, 15, 02400 Hellín, Albacete, España",,https://servicasahellin.es/,4.2,39.0,es,Google reviews: 4.2* / 39,2400.0,34967302058.0,34673708155.0,info@servicasahellin.com,,success
97,Inmobiliaria González de Hellín,"C. Periodista Antonio Andújar, 11, Bajo, 02400 Hellín, Albacete, España",34967303113.0,http://www.inmobiliariagonzalezhellin.es/,3.3,13.0,es,Google reviews: 3.3* / 13,2400.0,,,,,error: no webpage (no contact information found)
98,Gestcasa,"C. Federico Coullaut Valera, 4, 02400 Hellín, Albacete, España",,https://gestcasa.com/,2.8,4.0,es,Google reviews: 2.8* / 4,2400.0,34967550539.0,34967543178.0,gestcasa@gestcasa.com,gestcasahellin@gestcasa.com,success
99,Inmobiliaria El Sol,"C. Sol, nº 5 Bajo, 02400 Hellín, Albacete, España",34967303646.0,http://www.apielsol.com/,,,es,Google reviews: * / None,2400.0,,,informacion@apielsol.com,,success
100,Ailess,"C. Federico Coullaut Valera, 4, 02400 Hellín, Albacete, España",,http://ailess.com.es/,5.0,1.0,es,Google reviews: 5* / 1,2400.0,34967854068.0,34604988762.0,,,success
101,GESTION INMOBILIARIA TOBARRA,"C. Mayor, 141, 02500 Tobarra, Albacete, España",,http://www.inmobiliariatobarra.com/,4.5,10.0,es,Google reviews: 4.5* / 10,2500.0,34967328228.0,,inmobiliariatobarra@yahoo.es,,success
102,Inmobiliaria Eurocastilla,"C. de Francisco Cano Fontecha, 3, Bajo, 02500 Tobarra, Albacete, España",,https://www.eurocastilla.es/,4.8,17.0,es,Google reviews: 4.8* / 17,2500.0,34967325112.0,34638729902.0,eurocastilla@gmail.com,info@eurocastilla.es,"too many offices, not giving contacts to avoid misunderstanding"
103,Diputación Provincial de Albacete,"C. el Rabal, 10, 02400 Hellín, Albacete, España",34967176223.0,,5.0,1.0,es,Google reviews: 5* / 1,2400.0,,,,,error:no webpage
104,Mercapiso Servicios Inmobiliarios,"C. Cruz de Mayo, 3, 02400 Hellín, Albacete, España",34967302865.0,,4.3,3.0,es,Google reviews: 4.3* / 3,2400.0,,,,,error:no webpage
105,Grupo Páramo,"C. Sol, 4, 02400 Hellín, Albacete, España",,,3.0,1.0,es,Google reviews: 3* / 1,2400.0,,,,,error:no webpage
106,Turismo rural El Velador casa rural Liétor Sierra del Segura,"C. Cal Nueva, 12, 02410 Liétor, Albacete, España",,http://www.elvelador.com/,4.7,29.0,es,Google reviews: 4.7* / 29,2410.0,34616611257.0,34608188259.0,,,success
107,FINCASA Servicios Inmobiliarios,"C. Miguel Hernández, 13, 02430 Elche de la Sierra, Albacete, España",34606997743.0,,5.0,1.0,es,Google reviews: 5* / 1,2430.0,,,,,error:no webpage
108,Inmobiliaria Sierra del Segura,"Av. Benjamín Palencia, 4, 02450 Riópar, Albacete, España",34633142912.0,,4.0,4.0,es,Google reviews: 4* / 4,2450.0,,,,,error:no webpage
109,Riopar Rural,"C. Diseminados, 425, 02459 Riópar, Albacete, España",34605203894.0,,4.8,8.0,es,Google reviews: 4.8* / 8,2459.0,,,,,error:no webpage
110,Rubí,"02459 Riópar, Albacete, España",,,5.0,22.0,es,Google reviews: 5* / 22,2459.0,,,,,error:no webpage
111,RURAL HOME inmobiliaria,"JUAN QUILEZ, 13, 02480 Yeste, Albacete, España",34652785954.0,http://www.ruralhomeinmobiliaria.com/#/,,,es,Google reviews: * / None,2480.0,,,,,error:no webpage
112,El Portal Servicios Inmobiliarios,"C. Muelle, 20, 02001 Albacete, España",34967027583.0,http://elportal.es/,1.0,1.0,es,Google reviews: 1* / 1,2001.0,,,,,error:no webpage
113,Casas Rurales Batán Río Tus,"Paraje el Batán, Ctra. -Tus, Km.14, 02485 Yeste, Albacete, España",,https://www.batanriotus.com/,4.8,709.0,es,Google reviews: 4.8* / 709,2485.0,34967432124.0,34699091330.0,reservas@batanriotus.com,,success
114,Paltor Gestión S.A.,"Pol. Ind. los Molinos, Av. de los Molinos, 81, B, 02520, Albacete, España",,http://paltorgestion.com/,,,es,Google reviews: * / None,2520.0,34967666777.0,34965114444.0,info@paltorgestion.com,info@paltorgestion.com,success
115,Huebras Desarrollos Inmobiliarios S.L.,"Pl. Mayor, 0, 02530 Nerpio, Albacete, España",,,1.0,2.0,es,Google reviews: 1* / 2,2530.0,,,,,error:no webpage
116,Venta De Pisos,"C. Juan de Toledo, 23, 02005 Albacete, España",,,,,es,Google reviews: * / None,2005.0,,,,,error:no webpage
117,Cabañas El Nogueral,"Calle las peñas, 7, 02489 Góntar, Albacete, España",,https://elnogueral.wixsite.com/casas,4.8,75.0,es,Google reviews: 4.8* / 75,2489.0,34622351937.0,,cabanaselnogueral@gmail.com,,success
118,Hogarnuevo Gestión Inmobiliaria,"C. Caldereros, 8, 02600 Villarrobledo, Albacete, España",,http://inmobiliariahogarnuevo.com/,4.6,35.0,es,Google reviews: 4.6* / 35,2600.0,34967740298.0,34605263239.0,hogarnuevo@gmail.com,,success
119,Muneralia,"C. Sta. Marta, N° 11, 02612 Munera, Albacete, España",,https://muneralia.es/,5.0,1.0,es,Google reviews: 5* / 1,2612.0,34681610882.0,,info@muneralia.es,,success
120,Lagunas de Ruidera Activa,"Cam. el Vivero, 9, 02611 Ossa de Montiel, Albacete, España",,http://www.lagunasderuideraactiva.com/,4.8,5.0,es,Google reviews: 4.8* / 5,2611.0,34655966794.0,34967377405.0,info@lagunasderuideraactiva.com,,success
